범죄대분류,범죄중분류,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,일,월,화,수,목,금,토
강력범죄,살인기수,24,22,27,36,32,27,49,37,55,54,40,38,53,41,54,29
강력범죄,살인미수등,41,34,36,40,41,49,83,101,63,72,74,62,68,76,67,69
강력범죄,강도,110,134,49,75,64,67,89,97,136,126,120,133,116,117,101,108
강력범죄,강간,665,865,375,341,330,349,422,676,1270,906,698,709,743,646,699,892
강력범죄,유사강간,96,129,71,48,47,53,59,120,153,127,113,103,96,99,99,139
강력범죄,강제추행,1803,1865,1269,1169,1302,1627,2163,3007,2848,2564,2197,2263,2333,2389,2547,2760
강력범죄,기타 강간 강제추행등,40,48,22,31,23,45,35,43,69,49,51,48,49,45,55,59
강력범죄,방화,165,155,108,265,202,189,215,254,138,256,236,263,235,246,212,243
폭력범죄,상해,4526,3660,2426,3208,3282,3809,5124,7956,5775,6105,5326,5649,5395,5396,5628,6267
폭력범죄,폭행,19941,16811,9409,11742,12011,14604,20925,35219,18605,25977,20195,21334,21160,21181,22423,26997
폭력범죄,체포 감금,99,90,86,114,122,154,167,162,213,162,168,189,180,192,165,151
폭력범죄,협박,1067,847,1102,1890,1769,2094,2747,2851,2833,2498,2462,2530,2474,2444,2408,2384
폭력범죄,약취 유인,2,9,13,14,42,35,28,17,27,29,34,27,26,30,26,15
폭력범죄,폭력행위등,1415,1505,516,463,503,752,943,1693,1414,1705,1175,1205,1088,1163,1206,1662
폭력범죄,공갈,119,91,65,304,340,485,587,491,1614,457,685,644,604,656,593,457
폭력범죄,손괴,5213,4524,3905,5130,4694,6144,9066,10633,7375,8479,7452,7767,7681,7514,8591,9200
지능범죄,직무유기,3,2,3,117,31,26,7,10,382,39,105,92,92,114,103,36
지능범죄,직권남용,10,12,12,123,60,26,24,20,316,33,96,110,110,110,104,40
지능범죄,증수뢰,4,0,3,76,28,10,12,1,213,22,53,57,69,64,61,21
지능범죄,통화,8,1,28,211,114,117,37,11,667,34,230,226,208,242,212,42
지능범죄,문서 인장,152,151,131,2636,1139,410,306,365,7000,673,2202,1992,1893,2710,1991,829
지능범죄,유가증권인지,1,1,1,37,14,14,3,3,123,17,20,25,30,32,58,15
지능범죄,사기,5374,3915,2755,38319,28345,20807,12481,11279,146754,19524,45478,45020,45399,45752,46698,22158
지능범죄,횡령,2504,2189,2434,7439,5837,6062,6063,5986,16599,6802,7968,7793,7922,7992,8817,7819
지능범죄,배임,8,0,6,731,242,57,30,17,3253,248,802,761,725,730,790,288
풍속범죄,성풍속범죄,703,570,759,1156,1268,1826,1784,1814,4278,1737,1990,2133,2107,2184,2333,1674
풍속범죄,도박범죄,181,93,97,224,395,753,892,866,2503,827,881,907,827,873,866,823
