자치구별(2),2020_20대_남자,2020_30대_남자,2020_40대_남자,2020_50대_남자,2021_20대_남자,2021_30대_남자,2021_40대_남자,2021_50대_남자,2022_20대_남자,2022_30대_남자,2022_40대_남자,2022_50대_남자
강남구,5736,10181,5750,3512,5733,10501,6018,4008,5765,10686,6172,4122
강동구,3599,6026,4357,4360,4321,6713,4572,4672,4389,6974,4557,4813
강북구,3119,3973,3644,4240,3387,4239,3642,4447,3639,4485,3679,4569
강서구,7431,12363,6444,5323,8264,13593,6877,5584,8684,14599,7188,5797
관악구,24849,20454,8698,6451,25945,21558,9189,6902,27855,23214,9407,7145
광진구,8938,7779,4310,4100,9453,8395,4438,4320,9831,9126,4413,4300
구로구,4476,6645,4490,4330,4928,7304,4575,4550,5289,7999,4677,4571
금천구,4625,6108,3561,4205,5257,6894,3712,4345,5704,7582,3766,4375
노원구,5161,4292,3699,3825,5566,4911,3774,4075,5585,5067,3802,4081
도봉구,1741,2878,2783,3191,1917,3256,2907,3293,1948,3440,2888,3450
동대문구,10168,5918,4000,4078,11006,6431,4097,4283,11273,6864,4125,4332
동작구,10444,8266,4031,3075,11117,8968,4269,3272,11802,9519,4316,3418
마포구,8305,8398,4291,2851,8895,9099,4408,3049,8876,9606,4599,3158
서대문구,7253,4858,2850,2674,7827,5228,3008,2838,7849,5481,3017,2857
서초구,3771,6391,3572,2491,3879,6764,3766,2693,3780,6881,3817,2813
성동구,5789,4873,3196,3206,6139,5298,3237,3311,6386,5394,3228,3290
성북구,8921,5471,3685,3770,9546,6059,3832,3805,9652,6305,3750,3937
송파구,5916,10675,6114,4643,6318,11258,6469,4965,6366,11850,6599,5075
양천구,2333,4267,3200,3451,2581,4767,3318,3558,2665,5089,3411,3652
영등포구,7260,10209,4950,4566,7879,11268,5132,4783,8167,12060,5242,4820
용산구,3166,5287,3012,2501,3422,5806,3105,2620,3485,6207,3216,2614
은평구,4238,6284,4525,4168,4589,6743,4571,4438,4616,7050,4711,4583
종로구,3438,2707,1757,2011,3488,2882,1768,2095,3656,2908,1760,2044
중구,2387,2533,1713,1828,2456,2806,1749,1902,2293,3064,1742,1874
중랑구,3856,5951,4842,6295,4116,6380,4828,6457,4374,6822,4857,6485
