자치구,21년1월_살인,21년1월_강도,21년1월_강간/강제추행,21년1월_절도,21년1월_폭력,21년2월_살인,21년2월_강도,21년2월_강간/강제추행,21년2월_절도,21년2월_폭력,21년3월_살인,21년3월_강도,21년3월_강간/강제추행,21년3월_절도,21년3월_폭력,21년4월_살인,21년4월_강도,21년4월_강간/강제추행,21년4월_절도,21년4월_폭력,21년5월_살인,21년5월_강도,21년5월_강간/강제추행,21년5월_절도,21년5월_폭력,21년6월_살인,21년6월_강도,21년6월_강간/강제추행,21년6월_절도,21년6월_폭력,21년7월_살인,21년7월_강도,21년7월_강간/강제추행,21년7월_절도,21년7월_폭력,21년8월_살인,21년8월_강도,21년8월_강간/강제추행,21년8월_절도,21년8월_폭력,21년9월_살인,21년9월_강도,21년9월_강간/강제추행,21년9월_절도,21년9월_폭력,21년10월_살인,21년10월_강도,21년10월_강간/강제추행,21년10월_절도,21년10월_폭력,21년11월_살인,21년11월_강도,21년11월_강간/강제추행,21년11월_절도,21년11월_폭력,21년12월_살인,21년12월_강도,21년12월_강간/강제추행,21년12월_절도,21년12월_폭력
강남구,1,0,33,197,207,0,1,39,120,178,0,5,49,180,253,1,2,45,192,247,1,0,70,179,264,2,4,46,222,286,1,2,54,178,314,1,3,53,245,276,2,5,51,189,248,2,1,45,215,285,0,1,47,279,307,1,1,46,176,294
강동구,0,1,10,125,106,0,0,5,92,99,0,0,7,119,139,1,1,10,108,149,1,1,9,115,145,0,0,11,163,151,0,2,15,143,161,1,0,10,123,150,0,0,13,159,153,0,0,11,105,125,0,0,15,190,170,0,1,8,170,165
강북구,0,0,6,60,75,1,0,1,40,86,0,1,7,52,107,0,0,11,53,133,1,0,15,86,108,0,0,20,77,110,0,0,15,76,133,0,0,13,85,104,1,0,10,68,127,0,0,12,50,139,1,0,17,74,135,0,0,9,56,126
강서구,0,0,14,99,145,1,0,10,108,104,1,0,16,116,153,1,0,16,129,191,0,0,27,135,165,1,0,16,142,166,1,1,25,142,174,1,0,21,119,180,1,0,16,122,189,0,1,19,134,205,2,1,40,158,186,0,0,26,136,240
관악구,1,0,20,126,157,0,0,14,136,137,0,0,29,126,176,1,1,17,170,178,0,0,25,149,225,0,0,28,188,196,1,2,33,171,226,2,1,31,157,182,0,1,34,113,174,0,1,12,92,191,0,0,49,225,196,3,1,29,207,210
광진구,0,0,17,109,79,0,1,10,103,101,1,1,10,127,133,0,0,12,119,119,0,0,25,109,121,0,0,24,96,133,1,1,18,123,137,1,0,25,128,121,0,0,11,78,102,0,0,13,84,129,0,0,24,176,153,2,1,19,162,128
구로구,0,0,6,76,125,0,0,3,79,113,0,0,14,121,160,0,0,13,120,173,1,0,10,114,176,0,1,15,115,158,2,0,18,106,138,1,0,21,155,179,1,0,19,117,176,0,1,21,127,172,0,0,22,131,160,0,0,20,129,177
금천구,3,0,7,84,90,0,0,11,87,86,0,1,9,53,107,0,0,14,85,108,0,0,6,92,120,1,0,8,76,100,0,1,13,95,121,0,0,13,77,117,1,0,8,96,108,0,0,19,80,109,0,1,15,82,100,2,0,11,106,116
노원구,1,0,9,81,123,0,0,8,93,106,0,0,5,97,148,2,0,13,96,146,0,0,16,103,173,1,0,17,123,163,2,1,15,136,177,0,1,10,134,177,0,0,18,110,174,0,0,19,104,140,0,1,17,165,215,0,0,9,119,157
도봉구,0,0,4,45,68,1,0,4,40,68,0,0,6,56,92,0,0,10,55,82,0,0,8,61,90,1,0,7,60,104,0,0,4,75,91,0,0,5,41,92,0,0,4,54,71,0,1,5,66,84,0,1,8,153,75,0,0,7,66,95
동대문구,0,2,7,99,106,0,1,6,59,84,0,0,10,85,133,0,0,14,91,124,0,0,14,135,133,1,0,13,111,162,0,0,21,142,139,0,1,15,81,149,0,2,17,118,114,0,0,18,107,137,1,1,21,96,133,1,0,13,116,126
동작구,0,0,12,78,88,0,0,4,66,77,0,0,8,84,101,0,0,12,94,104,0,0,26,107,127,0,0,18,132,121,0,1,16,115,106,0,0,18,101,159,1,0,23,90,104,0,0,8,75,101,1,0,18,83,113,0,0,17,104,118
마포구,1,1,16,116,122,0,0,16,87,102,0,0,23,114,140,1,0,31,114,120,0,0,25,119,131,1,0,34,116,135,1,1,27,134,133,0,1,32,143,134,0,1,23,119,147,0,0,28,155,162,0,0,39,164,198,0,0,27,129,177
서대문구,1,0,10,83,74,0,0,9,55,87,0,0,11,84,87,0,0,4,97,83,0,0,12,66,77,0,0,5,89,91,1,0,17,98,88,0,0,18,109,108,0,1,12,82,95,1,0,7,66,106,0,0,11,99,109,0,1,21,99,104
서초구,1,0,14,106,103,0,2,13,89,111,1,1,22,152,159,1,0,24,112,133,0,0,25,58,149,1,0,27,129,158,0,0,31,145,162,0,1,30,130,166,1,1,28,86,146,1,0,36,122,200,3,0,38,268,184,0,0,24,106,156
성동구,1,2,5,57,59,0,0,3,61,69,0,0,7,78,79,1,0,9,72,86,0,0,9,82,85,0,1,11,58,103,1,0,10,71,109,0,0,15,90,111,0,0,13,73,73,0,1,2,63,94,0,0,21,104,114,0,0,5,96,108
성북구,0,0,7,75,80,1,0,6,37,101,0,2,9,65,109,0,0,7,58,112,1,0,7,80,97,0,0,12,76,98,0,0,13,92,115,0,0,15,74,126,0,0,11,78,119,1,0,6,57,151,0,0,14,115,139,1,0,11,88,145
송파구,0,1,10,175,139,0,1,6,126,143,0,0,25,131,236,1,0,27,131,235,1,0,20,160,185,0,0,21,239,211,0,1,34,169,209,0,0,25,202,223,0,1,24,151,191,0,1,11,115,228,0,2,23,229,224,1,0,21,196,209
양천구,0,0,6,106,99,1,0,7,66,92,0,0,6,113,133,0,1,7,96,136,0,0,8,121,130,0,0,9,124,119,0,0,15,104,110,0,0,11,95,125,0,0,11,118,154,0,2,14,97,114,0,0,9,192,156,0,0,13,117,178
영등포구,1,0,12,118,157,1,0,15,81,87,0,1,28,171,160,0,1,28,144,213,0,8,19,148,156,0,0,25,148,170,3,1,27,163,214,1,0,39,150,259,0,0,25,115,184,1,0,21,78,157,0,0,18,241,224,1,0,22,155,188
용산구,0,0,7,59,87,0,0,5,56,46,0,1,11,57,99,0,0,5,76,120,0,0,9,65,102,2,0,10,101,117,0,0,19,113,129,1,0,17,100,104,0,0,8,62,119,0,0,14,52,100,0,0,21,100,126,0,0,15,104,142
은평구,0,0,3,113,114,0,0,5,62,93,0,0,8,108,137,0,1,17,103,122,0,0,9,110,113,0,0,18,157,159,1,0,12,117,149,1,1,14,114,189,0,0,18,139,149,1,0,22,125,142,1,0,25,128,158,0,1,15,148,122
종로구,0,0,10,63,94,1,0,9,74,100,0,0,14,86,118,0,0,4,75,114,0,0,12,97,119,0,1,10,84,118,0,2,22,103,139,2,0,16,113,133,1,0,12,103,130,2,0,16,62,113,0,1,14,142,141,0,0,17,95,148
중구,0,0,8,101,71,1,1,3,98,90,0,2,14,94,117,1,0,9,121,98,1,0,14,126,120,0,2,16,126,115,1,1,21,118,125,1,0,19,104,168,0,0,16,120,130,0,0,11,87,123,1,0,17,100,136,0,0,13,84,116
중랑구,0,0,7,106,117,0,1,6,74,82,0,1,8,118,145,0,0,11,95,109,0,0,12,112,117,0,0,14,121,183,0,0,22,141,147,2,1,17,117,137,1,0,12,127,155,1,0,9,124,159,0,2,13,163,170,0,1,10,101,139
