자치구,22년1월_살인,22년1월_강도,22년1월_강간/강제추행,22년1월_절도,22년1월_폭력,22년2월_살인,22년2월_강도,22년2월_강간/강제추행,22년2월_절도,22년2월_폭력,22년3월_살인,22년3월_강도,22년3월_강간/강제추행,22년3월_절도,22년3월_폭력,22년4월_살인,22년4월_강도,22년4월_강간/강제추행,22년4월_절도,22년4월_폭력,22년5월_살인,22년5월_강도,22년5월_강간/강제추행,22년5월_절도,22년5월_폭력,22년6월_살인,22년6월_강도,22년6월_강간/강제추행,22년6월_절도,22년6월_폭력,22년7월_살인,22년7월_강도,22년7월_강간/강제추행,22년7월_절도,22년7월_폭력,22년8월_살인,22년8월_강도,22년8월_강간/강제추행,22년8월_절도,22년8월_폭력,22년9월_살인,22년9월_강도,22년9월_강간/강제추행,22년9월_절도,22년9월_폭력,22년10월_살인,22년10월_강도,22년10월_강간/강제추행,22년10월_절도,22년10월_폭력,22년11월_살인,22년11월_강도,22년11월_강간/강제추행,22년11월_절도,22년11월_폭력,22년12월_살인,22년12월_강도,22년12월_강간/강제추행,22년12월_절도,22년12월_폭력
강남구,0,0,56,169,344,0,1,33,131,233,1,1,38,161,317,0,0,47,200,287,2,1,61,228,325,3,2,49,228,297,0,2,65,222,335,1,1,72,247,322,3,1,65,168,312,1,0,61,194,324,1,1,64,313,327,0,1,56,234,339
강동구,1,1,12,143,167,0,0,13,100,109,0,0,12,96,136,0,0,9,104,160,0,1,12,141,159,1,1,16,136,171,0,0,16,203,141,0,1,16,158,154,1,0,9,126,162,0,0,12,107,151,1,1,15,236,197,1,0,15,122,165
강북구,0,1,11,66,139,0,0,5,49,98,0,1,9,65,129,1,0,22,62,146,0,0,15,101,186,0,0,17,81,197,2,1,17,67,143,0,2,20,86,154,2,0,17,73,152,0,0,10,71,159,0,0,16,84,141,0,0,18,67,129
강서구,0,0,19,140,194,0,0,12,91,159,0,1,20,130,206,0,1,21,128,229,0,0,22,155,205,0,0,18,208,190,1,0,24,198,242,0,0,29,193,211,0,3,17,164,184,1,0,30,214,226,1,2,24,200,207,0,0,25,170,148
관악구,0,0,22,148,208,1,1,21,103,158,0,1,23,124,162,1,2,27,170,192,2,0,17,140,196,0,1,25,167,230,0,0,33,170,260,1,0,42,215,231,2,0,26,95,206,1,1,40,142,211,0,2,27,290,281,2,1,24,202,232
광진구,0,0,20,202,143,0,0,8,75,97,0,0,6,114,121,0,0,17,133,158,0,0,22,143,144,0,0,31,145,162,0,0,20,123,155,2,0,22,120,142,0,0,17,120,160,1,0,33,105,153,2,0,23,211,146,1,0,11,179,132
구로구,0,3,18,145,164,0,0,9,88,124,1,2,16,82,160,1,0,16,114,153,1,2,17,144,184,0,1,25,138,227,3,0,27,150,167,0,0,22,153,197,1,0,16,129,163,1,0,16,151,193,1,0,27,137,191,2,0,8,134,133
금천구,0,0,20,121,108,0,0,10,68,66,0,0,10,72,87,1,0,5,75,84,0,0,5,93,104,0,1,10,106,135,0,0,11,124,149,0,0,16,89,133,0,0,13,85,96,0,1,10,90,146,1,0,11,118,131,0,1,6,77,88
노원구,0,0,13,123,129,0,0,9,78,88,0,2,11,65,119,0,0,11,94,106,0,0,17,114,134,0,1,20,130,132,0,1,27,124,132,0,0,20,116,152,1,0,18,128,121,0,1,17,76,138,0,0,18,150,141,0,0,13,167,114
도봉구,0,0,10,139,170,0,0,7,84,121,2,0,8,83,178,0,0,16,96,163,0,0,12,137,221,1,0,14,126,217,0,1,17,141,197,0,0,28,129,183,0,0,9,141,192,0,0,17,116,194,0,0,23,167,203,0,2,19,145,167
