"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,Jan-20,1.6,5.9,11.9,2020-01-26,-1.7,-6.5,2020-01-01
"		108",서울,Feb-20,2.5,7.2,15.6,2020-02-15,-1.3,-11.8,2020-02-06
"		108",서울,Mar-20,7.7,13.3,20.6,2020-03-26,2.6,-2.8,2020-03-05
"		108",서울,Apr-20,11.1,16.6,23.8,2020-04-16,6.3,1.9,2020-04-05
"		108",서울,May-20,18,23.3,30,2020-05-30,13.7,9.2,2020-05-20
"		108",서울,Jun-20,23.9,29,35.4,2020-06-22,19.9,14.8,2020-06-02
"		108",서울,Jul-20,24.1,28,32.9,2020-07-09,21.1,17.2,2020-07-14
"		108",서울,Aug-20,26.5,29.3,34.5,2020-08-26,24.4,21.5,2020-08-23
"		108",서울,Sep-20,21.4,25.6,29.5,2020-09-01,18,13.6,2020-09-21
"		108",서울,Oct-20,14.3,19.5,23.6,2020-10-01,9.6,3.2,2020-10-24
"		108",서울,Nov-20,8,12.6,20,2020-11-17,4,-3.6,2020-11-30
"		108",서울,Dec-20,-0.3,3.9,11.4,2020-12-28,-4.2,-12.9,2020-12-31
"		108",서울,Jan-21,-2.4,2.2,13.9,2021-01-25,-6.8,-18.6,2021-01-08
"		108",서울,Feb-21,2.7,7.9,17.4,2021-02-21,-2.2,-10.6,2021-02-18
"		108",서울,Mar-21,9,14.8,22.9,2021-03-31,4.3,-1.2,2021-03-03
"		108",서울,Apr-21,14.2,19.5,28.2,2021-04-21,9.5,3.1,2021-04-14
"		108",서울,May-21,17.1,21.9,30.8,2021-05-14,12.8,7.3,2021-05-02
"		108",서울,Jun-21,22.8,27.6,31.6,2021-06-09,18.9,13.3,2021-06-04
"		108",서울,Jul-21,28.1,32.2,36.5,2021-07-24,24.6,19.6,2021-07-03
"		108",서울,Aug-21,25.9,29.7,33.7,2021-08-05,22.8,18.1,2021-08-31
"		108",서울,Sep-21,22.6,26.9,30.3,2021-09-13,18.8,16,2021-09-30
"		108",서울,Oct-21,15.6,20.5,28.8,2021-10-03,11.6,1.3,2021-10-17
"		108",서울,Nov-21,8.2,13.1,21.3,2021-11-07,4,-3.7,2021-11-23
"		108",서울,Dec-21,0.6,5.1,13.3,2021-12-08,-3.5,-15.5,2021-12-26
"		108",서울,Jan-22,-2.2,2.6,8.4,2022-01-24,-6.2,-11.3,2022-01-12
"		108",서울,Feb-22,-1.1,3.8,11.5,2022-02-28,-5.3,-10.7,2022-02-17
"		108",서울,Mar-22,7.7,12.7,19.5,2022-03-12,3.2,-3,2022-03-06
"		108",서울,Apr-22,14.8,20.6,28.7,2022-04-26,10,3.5,2022-04-03
"		108",서울,May-22,19.1,25,30.7,2022-05-23,13.9,7.9,2022-05-01
"		108",서울,Jun-22,23.3,27.5,32.7,2022-06-11,19.8,14.9,2022-06-15
"		108",서울,Jul-22,27.3,31,36.1,2022-07-30,24.2,20.8,2022-07-21
"		108",서울,Aug-22,25.7,28.9,32.9,2022-08-04,23.1,16.1,2022-08-28
"		108",서울,Sep-22,22.4,27.2,32.5,2022-09-18,18.2,12.3,2022-09-24
"		108",서울,Oct-22,14.6,19.7,27.6,2022-10-01,10.3,4.4,2022-10-19
"		108",서울,Nov-22,10,15.4,22.1,2022-11-11,5.6,-8.1,2022-11-30
"		108",서울,Dec-22,-2.8,1.7,10.2,2022-12-09,-6.6,-13.7,2022-12-23
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
