,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
20년1월_살인,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,1,2,0,1
20년1월_강도,1,1,2,1,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
20년1월_강간/강제추행,65,12,13,33,37,20,18,8,7,8,11,21,32,20,6,11,7,23,11,33,23,15,8,22,14
20년1월_절도,310,146,79,193,223,175,170,79,101,81,192,136,214,115,25,95,80,250,130,203,104,126,118,216,112
20년1월_폭력,339,173,164,215,205,149,204,134,165,98,150,146,217,133,48,132,129,240,114,252,149,187,167,178,153
20년2월_살인,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0
20년2월_강도,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,2,1,0,0,0
20년2월_강간/강제추행,46,9,16,17,26,21,5,10,11,8,8,10,24,8,5,11,10,16,8,23,23,8,12,16,15
20년2월_절도,240,132,61,161,181,134,100,107,82,61,126,88,131,84,28,66,57,148,141,173,70,93,87,135,117
20년2월_폭력,221,145,164,195,157,96,157,146,181,96,123,117,151,85,30,87,119,171,116,198,114,140,126,116,143
20년3월_살인,1,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
20년3월_강도,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1
20년3월_강간/강제추행,64,7,9,23,27,19,12,10,6,9,8,8,49,16,2,7,11,18,9,22,32,10,18,11,14
20년3월_절도,279,137,72,179,164,145,128,97,83,59,118,124,95,102,27,75,93,231,134,193,108,104,135,176,140
20년3월_폭력,334,136,177,218,205,133,179,130,176,101,154,120,147,106,42,90,116,223,95,225,142,163,156,137,176
20년4월_살인,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,3
20년4월_강도,0,1,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1
20년4월_강간/강제추행,53,13,10,17,22,23,11,10,16,6,12,18,20,9,5,9,15,27,16,20,28,13,9,16,8
20년4월_절도,227,124,66,116,202,126,159,72,110,61,130,91,118,102,26,83,81,204,114,177,116,97,81,118,104
20년4월_폭력,324,126,176,195,231,124,138,110,180,109,148,118,161,88,31,100,121,244,107,213,146,149,119,96,176
20년5월_살인,0,1,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,1,0
20년5월_강도,2,5,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1
20년5월_강간/강제추행,48,12,16,16,20,17,11,11,13,4,14,26,28,15,4,4,7,24,6,32,14,15,19,14,12
20년5월_절도,215,127,67,150,207,130,163,77,151,63,73,146,113,100,50,78,76,242,123,198,105,88,85,117,105
20년5월_폭력,317,154,158,201,232,142,212,142,205,103,169,144,141,127,22,95,102,247,113,261,147,154,149,126,183
20년6월_살인,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20년6월_강도,2,2,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
20년6월_강간/강제추행,58,20,18,21,34,20,17,13,10,12,20,28,24,15,5,15,17,26,13,22,16,16,21,19,22
20년6월_절도,234,132,79,121,179,120,143,82,102,84,102,107,87,76,23,90,73,199,111,198,82,158,108,119,118
20년6월_폭력,337,176,153,229,224,158,206,128,196,106,160,125,144,110,32,115,110,248,136,218,138,143,150,148,176
