,2020_20대_남자,2020_30대_남자,2020_40대_남자,2020_50대_남자,2021_20대_남자,2021_30대_남자,2021_40대_남자,2021_50대_남자,2022_20대_남자,2022_30대_남자,2022_40대_남자,2022_50대_남자,2020_20대_여자,2020_30대_여자,2020_40대_여자,2020_50대_여자,2021_20대_여자,2021_30대_여자,2021_40대_여자,2021_50대_여자,2022_20대_여자,2022_30대_여자,2022_40대_여자,2022_50대_여자,20년1월_범죄건수,21년1월_범죄건수,22년1월_범죄건수,20년2월_범죄건수,21년2월_범죄건수,22년2월_범죄건수,20년3월_범죄건수,21년3월_범죄건수,22년3월_범죄건수,20년4월_범죄건수,21년4월_범죄건수,22년4월_범죄건수,20년5월_범죄건수,21년5월_범죄건수,22년5월_범죄건수,20년6월_범죄건수,21년6월_범죄건수,22년6월_범죄건수,20년7월_범죄건수,21년7월_범죄건수,22년7월_범죄건수,20년8월_범죄건수,21년8월_범죄건수,22년8월_범죄건수,20년9월_범죄건수,21년9월_범죄건수,22년9월_범죄건수,20년10월_범죄건수,21년10월_범죄건수,22년10월_범죄건수,20년11월_범죄건수,21년11월_범죄건수,22년11월_범죄건수,20년12월_범죄건수,21년12월_범죄건수,22년12월_범죄건수,20년_범죄율,21년_범죄율,22년_범죄율,총범죄건수,2020_세대수,2020_힌국인,2020_등록외국인,2020_고령자,2021_세대수,2021_힌국인,2021_등록외국인,2021_고령자,2022_세대수,2022_힌국인,2022_등록외국인,2022_고령자
강남구,5736,10181,5750,3512,5733,10501,6018,4008,5765,10686,6172,4122,9075,11286,5804,3340,9053,11137,6178,3637,9033,11018,6384,3806,715,438,569,508,338,398,679,487,518,604,487,534,582,514,617,631,560,579,641,549,624,651,578,643,296,495,549,519,548,580,592,634,706,606,518,630,0.3491574290401153,0.3055127504101009,0.3453298205497838,20117,234872,539231,4824,75096,234233,533042,4758,78226,232777,529102,5001,81715
강동구,3599,6026,4357,4360,4321,6713,4572,4672,4389,6974,4557,4813,5362,4755,3172,3117,6610,5482,3412,3341,6903,5891,3571,3405,332,242,324,287,196,222,283,265,244,264,269,273,299,271,313,330,325,325,373,321,360,357,284,329,89,325,298,310,241,270,312,375,450,292,344,303,0.329812096849584,0.3232682060390763,0.3469196971113396,10697,196499,459970,4028,70019,201613,462664,3808,74070,202169,460067,3970,78340
강북구,3119,3973,3644,4240,3387,4239,3642,4447,3639,4485,3679,4569,4812,2738,2420,3238,5090,2944,2389,3260,5545,3146,2389,3405,258,141,217,242,128,152,258,167,204,252,197,231,243,210,302,253,207,295,265,224,230,222,202,262,210,206,244,212,201,240,182,227,241,183,191,214,0.3513206116517123,0.2907873120181979,0.3578920763300897,7913,145896,308055,3514,63422,144536,299182,3381,64333,144313,293660,4042,66307
강서구,7431,12363,6444,5323,8264,13593,6877,5584,8684,14599,7188,5797,12654,9712,4808,4532,14150,11191,5138,4655,15006,12501,5447,4687,443,258,353,373,223,262,421,286,357,330,337,379,371,327,382,371,325,416,369,343,465,380,321,433,139,328,368,377,359,471,297,387,434,289,402,343,0.3270697381869644,0.306313389417407,0.3666168723956285,12719,266982,580185,5716,88984,271175,574315,5453,92558,273697,569166,5472,97128
관악구,24849,20454,8698,6451,25945,21558,9189,6902,27855,23214,9407,7145,27375,12690,4638,3960,28679,13554,4812,4071,30625,14745,5096,4217,466,304,378,365,287,284,396,331,310,456,367,392,459,399,355,441,412,423,494,433,463,2409,373,489,252,322,329,469,296,395,431,470,600,461,450,461,0.4322859578614054,0.2706125928632322,0.2971014492753623,16422,274811,495060,14743,78875,276597,485699,13750,79871,283623,486752,14474,82447
광진구,8938,7779,4310,4100,9453,8395,4438,4320,9831,9126,4413,4300,11594,6904,3258,3010,12301,7407,3373,3026,12671,7989,3579,3145,344,205,365,251,215,180,297,272,241,276,250,308,290,255,309,298,253,338,328,280,298,354,275,286,116,191,297,335,226,292,240,353,382,270,312,323,0.3363681345868382,0.3054923305294408,0.3581395348837209,10105,167427,346682,13427,50560,167949,339996,12631,51723,169291,337416,13836,54071
구로구,4476,6645,4490,4330,4928,7304,4575,4550,5289,7999,4677,4571,5870,4593,2779,2785,6434,5050,2830,2890,7243,5559,2970,2924,394,207,330,262,195,221,322,295,261,310,306,284,386,301,348,367,289,391,472,264,347,343,356,372,295,313,309,358,321,361,300,313,356,300,326,277,0.35880195599022,0.30440097799511,0.3367970660146699,11452,180531,404408,28080,70198,180929,396754,24409,72611,183655,395315,23103,75890
금천구,4625,6108,3561,4205,5257,6894,3712,4345,5704,7582,3766,4375,5181,3225,1888,2400,6168,3810,1952,2481,6819,4487,1988,2533,222,184,249,264,184,144,239,170,169,193,207,165,233,218,202,224,185,252,247,230,284,209,207,238,362,213,194,222,208,247,186,198,261,176,235,172,0.3563454382137816,0.3129731810599255,0.3306813807262928,7793,114715,231733,16102,39842,117595,230811,14080,41041,119583,229642,13176,42928
노원구,5161,4292,3699,3825,5566,4911,3774,4075,5585,5067,3802,4081,5597,3138,3165,3964,5797,3608,3260,4098,5920,3744,3332,4174,274,214,265,274,207,175,266,250,197,306,257,211,370,292,265,308,304,283,331,331,284,342,322,288,341,302,268,304,263,232,301,398,309,325,285,294,0.3655010744285993,0.3345379957022856,0.299960929869115,10238,218270,523037,3995,85489,217378,510956,3990,88345,217540,503734,4280,92040
도봉구,1741,2878,2783,3191,1917,3256,2907,3293,1948,3440,2888,3450,2687,2085,2066,2816,3042,2347,2139,2931,3140,2548,2217,2958,188,117,319,166,113,212,169,154,271,176,147,275,170,159,370,202,172,358,192,170,356,182,138,340,184,129,342,176,156,327,176,237,393,209,168,333,0.275610369997483,0.2340800402718348,0.4903095897306821,7946,139114,325257,2104,62059,138656,317366,2007,64160,138356,311694,2295,66998
