°­³²±¸,Date
668.9271275543935,2023-01-01
502.8805752844497,2023-02-01
543.172101919906,2023-03-01
615.6335194438498,2023-04-01
735.6564692320587,2023-05-01
642.626378138225,2023-06-01
663.3592711324862,2023-07-01
662.1008465851412,2023-08-01
713.4679704276139,2023-09-01
600.3183423035771,2023-10-01
740.3040056528391,2023-11-01
597.1235440694637,2023-12-01
786.1710177325579,2024-01-01
592.0302365862855,2024-02-01
744.3463421838264,2024-03-01
687.0501792289892,2024-04-01
676.8921409966955,2024-05-01
758.5106060984015,2024-06-01
777.9205263648664,2024-07-01
815.9296268739793,2024-08-01
530.2411380789449,2024-09-01
745.7158430383573,2024-10-01
826.0884943747803,2024-11-01
817.0089780847495,2024-12-01
689.6353680616425,2025-01-01
574.0120816163387,2025-02-01
761.6533330632186,2025-03-01
746.3515608420652,2025-04-01
780.744172302433,2025-05-01
804.7325692277061,2025-06-01
823.751275079028,2025-07-01
847.4146623756374,2025-08-01
675.206849107321,2025-09-01
782.5830011152386,2025-10-01
882.0664416560087,2025-11-01
826.771684947479,2025-12-01
804.8588562742968,2026-01-01
664.9901660319476,2026-02-01
778.6431194983999,2026-03-01
806.6082498470247,2026-04-01
884.410054558991,2026-05-01
850.1636426499122,2026-06-01
869.6177507215361,2026-07-01
880.1965542637109,2026-08-01
820.3737059441353,2026-09-01
818.1767381679047,2026-10-01
937.5258750018627,2026-11-01
837.5240780252135,2026-12-01
