자치구별(2),2020_20대_여자,2020_30대_여자,2020_40대_여자,2020_50대_여자,2021_20대_여자,2021_30대_여자,2021_40대_여자,2021_50대_여자,2022_20대_여자,2022_30대_여자,2022_40대_여자,2022_50대_여자
강남구,9075,11286,5804,3340,9053,11137,6178,3637,9033,11018,6384,3806
강동구,5362,4755,3172,3117,6610,5482,3412,3341,6903,5891,3571,3405
강북구,4812,2738,2420,3238,5090,2944,2389,3260,5545,3146,2389,3405
강서구,12654,9712,4808,4532,14150,11191,5138,4655,15006,12501,5447,4687
관악구,27375,12690,4638,3960,28679,13554,4812,4071,30625,14745,5096,4217
광진구,11594,6904,3258,3010,12301,7407,3373,3026,12671,7989,3579,3145
구로구,5870,4593,2779,2785,6434,5050,2830,2890,7243,5559,2970,2924
금천구,5181,3225,1888,2400,6168,3810,1952,2481,6819,4487,1988,2533
노원구,5597,3138,3165,3964,5797,3608,3260,4098,5920,3744,3332,4174
도봉구,2687,2085,2066,2816,3042,2347,2139,2931,3140,2548,2217,2958
동대문구,11038,4141,2538,2538,12382,4531,2633,2540,12747,4972,2673,2653
동작구,12301,6111,2897,2548,12940,6735,2987,2691,13532,7057,3178,2731
마포구,11892,8562,4278,2692,12614,9049,4443,2889,13154,9495,4592,3109
서대문구,10674,4149,2461,2313,11118,4455,2476,2459,10957,4722,2622,2615
서초구,5673,6162,3508,2443,5669,6434,3757,2587,5431,6516,3874,2722
성동구,6113,3844,2458,2142,6489,4072,2547,2232,6731,4272,2603,2266
성북구,12046,4163,2892,2944,12520,4621,3050,3092,12481,4695,3134,3285
송파구,9155,10196,5363,4086,9960,10955,5632,4288,9817,11542,5889,4502
양천구,2948,3064,2462,2748,3355,3486,2523,2907,3589,3735,2603,2990
영등포구,9780,7215,3260,2691,11042,8257,3428,2890,11961,9154,3601,2933
용산구,5143,4373,2520,1873,5594,4855,2625,1997,5783,5409,2692,2071
은평구,6436,5388,3751,3801,7300,5920,3951,3999,7808,6384,4058,4108
종로구,4004,2197,1502,1345,4311,2338,1542,1445,4575,2539,1549,1471
중구,3095,2140,1280,1252,3568,2462,1344,1247,3420,2629,1413,1297
중랑구,5082,4440,3062,3957,5689,4838,3251,3995,6489,5371,3332,4057
