자치구,20년1월_범죄건수,21년1월_범죄건수,22년1월_범죄건수,20년2월_범죄건수,21년2월_범죄건수,22년2월_범죄건수,20년3월_범죄건수,21년3월_범죄건수,22년3월_범죄건수,20년4월_범죄건수,21년4월_범죄건수,22년4월_범죄건수,20년5월_범죄건수,21년5월_범죄건수,22년5월_범죄건수,20년6월_범죄건수,21년6월_범죄건수,22년6월_범죄건수,20년7월_범죄건수,21년7월_범죄건수,22년7월_범죄건수,20년8월_범죄건수,21년8월_범죄건수,22년8월_범죄건수,20년9월_범죄건수,21년9월_범죄건수,22년9월_범죄건수,20년10월_범죄건수,21년10월_범죄건수,22년10월_범죄건수,20년11월_범죄건수,21년11월_범죄건수,22년11월_범죄건수,20년12월_범죄건수,21년12월_범죄건수,22년12월_범죄건수
강남구,715,438,569,508,338,398,679,487,518,604,487,534,582,514,617,631,560,579,641,549,624,651,578,643,296,495,549,519,548,580,592,634,706,606,518,630
강동구,332,242,324,287,196,222,283,265,244,264,269,273,299,271,313,330,325,325,373,321,360,357,284,329,89,325,298,310,241,270,312,375,450,292,344,303
강북구,258,141,217,242,128,152,258,167,204,252,197,231,243,210,302,253,207,295,265,224,230,222,202,262,210,206,244,212,201,240,182,227,241,183,191,214
강서구,443,258,353,373,223,262,421,286,357,330,337,379,371,327,382,371,325,416,369,343,465,380,321,433,139,328,368,377,359,471,297,387,434,289,402,343
관악구,466,304,378,365,287,284,396,331,310,456,367,392,459,399,355,441,412,423,494,433,463,2409,373,489,252,322,329,469,296,395,431,470,600,461,450,461
광진구,344,205,365,251,215,180,297,272,241,276,250,308,290,255,309,298,253,338,328,280,298,354,275,286,116,191,297,335,226,292,240,353,382,270,312,323
구로구,394,207,330,262,195,221,322,295,261,310,306,284,386,301,348,367,289,391,472,264,347,343,356,372,295,313,309,358,321,361,300,313,356,300,326,277
금천구,222,184,249,264,184,144,239,170,169,193,207,165,233,218,202,224,185,252,247,230,284,209,207,238,362,213,194,222,208,247,186,198,261,176,235,172
노원구,274,214,265,274,207,175,266,250,197,306,257,211,370,292,265,308,304,283,331,331,284,342,322,288,341,302,268,304,263,232,301,398,309,325,285,294
도봉구,188,117,319,166,113,212,169,154,271,176,147,275,170,159,370,202,172,358,192,170,356,182,138,340,184,129,342,176,156,327,176,237,393,209,168,333
동대문구,353,214,177,259,150,92,281,228,143,292,229,181,257,282,185,282,287,181,286,302,196,309,246,183,245,251,197,263,262,183,227,252,225,295,256,198
동작구,303,178,322,215,147,159,252,193,211,227,210,238,317,260,277,260,271,342,292,238,282,259,278,303,316,218,202,239,184,293,303,215,361,287,239,263
마포구,464,256,249,307,205,153,291,277,170,300,266,201,284,275,212,256,286,280,316,296,223,246,310,241,123,290,242,314,345,248,276,401,256,268,333,260
서대문구,269,168,343,178,151,240,224,182,305,199,184,309,242,155,383,201,185,334,219,204,384,221,235,328,196,190,255,173,180,324,197,219,531,159,225,360
서초구,80,224,206,63,215,173,71,335,184,62,270,157,76,232,193,60,315,222,73,338,202,82,327,211,286,262,190,61,359,188,64,493,255,387,286,193
성동구,239,124,382,164,133,294,173,164,320,194,168,347,177,176,406,221,173,395,223,191,392,198,216,339,393,159,383,215,160,380,192,239,457,182,209,364
성북구,216,162,192,186,145,109,220,185,147,217,177,191,185,185,187,200,186,213,265,220,219,225,215,221,804,208,142,218,215,180,220,268,209,197,245,184
송파구,515,325,444,337,276,271,473,392,398,475,394,411,515,366,425,474,471,489,493,413,416,440,450,470,346,367,403,341,355,431,466,478,537,448,427,472
양천구,255,211,304,265,166,175,239,252,226,238,240,281,244,259,263,260,252,296,335,229,259,278,231,347,99,283,216,288,227,255,233,357,291,255,308,256
영등포구,489,288,414,395,184,282,440,360,360,412,386,377,493,331,432,439,343,435,513,408,433,461,449,412,358,324,324,339,257,335,435,483,599,456,366,416
용산구,277,153,235,209,107,169,282,168,183,291,201,177,266,176,246,237,230,298,249,261,312,221,222,274,291,189,252,239,166,245,229,247,302,210,261,274
은평구,329,230,319,242,160,214,277,253,265,259,243,277,259,232,280,317,334,328,337,279,287,272,319,312,759,306,291,277,290,325,262,312,312,283,286,277
종로구,296,167,243,228,184,187,310,218,199,211,193,211,253,228,249,280,213,266,281,266,226,227,264,150,418,246,211,270,193,237,218,298,275,293,260,208
중구,416,180,250,267,193,181,326,227,268,230,229,324,258,261,297,286,259,323,325,266,347,293,292,202,316,266,315,261,221,348,235,254,299,251,213,312
중랑구,280,230,212,275,163,181,333,272,177,292,215,218,301,241,287,316,318,300,397,310,261,297,274,206,226,295,263,338,293,272,265,348,417,345,251,257
