,일시,월_범죄건수
0,202001,7702
1,202002,6074
2,202003,6843
3,202004,6462
4,202005,6948
5,202006,6883
6,202007,7675
7,202008,8827
8,202009,7164
9,202010,6599
10,202011,6247
11,202012,6821
12,202101,4982
13,202102,4327
14,202103,5896
15,202104,5942
16,202105,6091
17,202106,6595
18,202107,6817
19,202108,6806
20,202109,6183
21,202110,5978
22,202111,7822
23,202112,6878
24,202201,7092
25,202202,4732
26,202203,5810
27,202204,6418
28,202205,7168
29,202206,7783
30,202207,7526
31,202208,7236
32,202209,6535
33,202210,7079
34,202211,8752
35,202212,7014
