µµºÀ±¸,Date
402.0516611837471,2023-01-01
360.12929076047976,2023-02-01
282.97635228043214,2023-03-01
303.5124962152973,2023-04-01
451.2899427465931,2023-05-01
425.2383039256316,2023-06-01
427.20301822137696,2023-07-01
392.96100192489837,2023-08-01
378.8911509332565,2023-09-01
358.95327552830304,2023-10-01
458.67378252210955,2023-11-01
327.8932684582687,2023-12-01
526.4550688429698,2024-01-01
484.5016803043378,2024-02-01
491.7984296552674,2024-03-01
485.220601738798,2024-04-01
461.8608381768393,2024-05-01
490.7258165421242,2024-06-01
482.5965122783264,2024-07-01
470.55447728393904,2024-08-01
475.13704331994103,2024-09-01
487.55419312729043,2024-10-01
511.04591224020027,2024-11-01
529.1563765691734,2024-12-01
493.4703059800126,2025-01-01
446.1026615074901,2025-02-01
535.5860704010596,2025-03-01
536.387664208581,2025-04-01
570.0957353839782,2025-05-01
581.3630623126187,2025-06-01
576.8089112367026,2025-07-01
557.5485884043393,2025-08-01
555.8956789244926,2025-09-01
557.0936333283942,2025-10-01
606.1797818991332,2025-11-01
573.8709924041854,2025-12-01
616.0362459575585,2026-01-01
572.3076391727677,2026-02-01
578.459184648226,2026-03-01
588.3010676425724,2026-04-01
679.0772433051028,2026-05-01
672.0375432039723,2026-06-01
670.8473152400859,2026-07-01
644.1833429131548,2026-08-01
636.3087527760455,2026-09-01
626.7185276466657,2026-10-01
701.2191545470283,2026-11-01
619.2710552929484,2026-12-01
