µø¿€±∏,Date
305.18126406064295,2023-01-01
204.72124877059565,2023-02-01
163.421516603891,2023-03-01
237.12542402037272,2023-04-01
258.71827573683237,2023-05-01
393.99806806702105,2023-06-01
282.8341168651556,2023-07-01
340.7694983182439,2023-08-01
142.12465456941823,2023-09-01
293.66672781613613,2023-10-01
339.28493569666784,2023-11-01
220.7417418905079,2023-12-01
346.40829757550785,2024-01-01
233.73670559222475,2024-02-01
278.39430052417913,2024-03-01
251.76727542301836,2024-04-01
331.03997762871205,2024-05-01
272.514680055971,2024-06-01
296.79605535065133,2024-07-01
281.37277582372167,2024-08-01
329.5841290507742,2024-09-01
244.8500354144038,2024-10-01
302.4470030394917,2024-11-01
317.30455322820654,2024-12-01
257.10974338470385,2025-01-01
177.31897340337997,2025-02-01
251.4314559999442,2025-03-01
257.5788036413574,2025-04-01
317.1018749661083,2025-05-01
323.60544046318046,2025-06-01
303.61612363228176,2025-07-01
313.1528033248202,2025-08-01
278.24060059595354,2025-09-01
271.2493430907615,2025-10-01
325.97059324403375,2025-11-01
295.77936871610444,2025-12-01
297.40996272782445,2026-01-01
207.91322486667036,2026-02-01
224.097047681886,2026-03-01
263.69534508844146,2026-04-01
303.99390785696426,2026-05-01
375.11894419062526,2026-06-01
309.9707664747682,2026-07-01
343.95840311251305,2026-08-01
226.73744793680225,2026-09-01
298.52834860859576,2026-10-01
349.2581592825306,2026-11-01
274.58887900712097,2026-12-01
