ÀºÆò±¸,Date
268.5919276542384,2023-01-01
174.23217241414721,2023-02-01
158.0883475103155,2023-03-01
215.19131525394107,2023-04-01
252.89015692936016,2023-05-01
351.46794216927185,2023-06-01
295.90429320650367,2023-07-01
397.20980796622115,2023-08-01
49.118476610968,2023-09-01
398.651732901419,2023-10-01
359.6409250640743,2023-11-01
250.4722761288191,2023-12-01
262.07144290411776,2024-01-01
156.65978127631195,2024-02-01
256.67588729551863,2024-03-01
220.99353999200733,2024-04-01
197.94053078184743,2024-05-01
251.97022403471888,2024-06-01
241.25614225513974,2024-07-01
188.34324924832356,2024-08-01
591.5750555627743,2024-09-01
188.06944018116928,2024-10-01
201.57106252925595,2024-11-01
235.45944608563553,2024-12-01
218.12071265216645,2025-01-01
145.14071760981147,2025-02-01
203.09314868112827,2025-03-01
197.4842519468442,2025-04-01
194.83207802726287,2025-05-01
264.4089671889279,2025-06-01
239.2994148808026,2025-07-01
240.12443061466624,2025-08-01
390.2910623467817,2025-09-01
234.61699660567777,2025-10-01
233.64691613025025,2025-11-01
220.55590835663168,2025-12-01
212.75770805310526,2026-01-01
129.21546571206244,2026-02-01
149.62352518410444,2026-03-01
174.9543842272277,2026-04-01
192.56695337487972,2026-05-01
277.0001666755366,2026-06-01
236.93821093450174,2026-07-01
289.1651049734677,2026-08-01
188.81970240101595,2026-09-01
284.2346658465375,2026-10-01
265.7711396576401,2026-11-01
204.97679937762956,2026-12-01
