°­ºÏ±¸,Date
266.4897266475839,2023-01-01
241.80349589594863,2023-02-01
192.33128026141128,2023-03-01
251.90148976587002,2023-04-01
362.89558225596625,2023-05-01
349.40377248308084,2023-06-01
260.42264285132245,2023-07-01
319.89918998759686,2023-08-01
296.84052177619367,2023-09-01
278.2496860296351,2023-10-01
296.0707897515527,2023-11-01
237.36036234319624,2023-12-01
335.556980872322,2024-01-01
312.3102795222261,2024-02-01
343.965577470126,2024-03-01
347.1067824544052,2024-04-01
334.82885090318945,2024-05-01
346.8207139842978,2024-06-01
376.7100172399411,2024-07-01
333.9434546438714,2024-08-01
335.2114524161222,2024-09-01
344.15965687535845,2024-10-01
336.8904193587718,2024-11-01
338.7322007865446,2024-12-01
310.9121358151399,2025-01-01
279.8777266970287,2025-02-01
354.23481758305246,2025-03-01
374.99162352437156,2025-04-01
404.092189529131,2025-05-01
408.5608206388044,2025-06-01
398.4756229699141,2025-07-01
389.43701430978865,2025-08-01
382.991215117426,2025-09-01
382.6390088575223,2025-10-01
383.7156353788765,2025-11-01
364.8844583967398,2025-12-01
379.0364794563913,2026-01-01
351.7541475033087,2026-02-01
364.0617648740782,2026-03-01
403.63456810086063,2026-04-01
473.843183670745,2026-05-01
469.8143577843291,2026-06-01
420.0922983303241,2026-07-01
445.14345470468675,2026-08-01
430.58768662045475,2026-09-01
421.0521475543605,2026-10-01
430.4930496319554,2026-11-01
391.4750737285318,2026-12-01
