°­³²±¸,Date
498.44437390997473,2022-01-01
494.34885195085565,2022-02-01
490.64967082648997,2022-03-01
486.55414886737094,2022-04-01
482.59074051983634,2022-05-01
478.4952185607172,2022-06-01
474.53181021318267,2022-07-01
470.43628825406347,2022-08-01
466.34076629494444,2022-09-01
462.3773579474098,2022-10-01
458.2818359882907,2022-11-01
454.31842764075617,2022-12-01
450.22290568163703,2023-01-01
446.12738372251795,2023-02-01
442.42820259815227,2023-03-01
438.3326806390332,2023-04-01
434.36927229149865,2023-05-01
430.2737503323795,2023-06-01
426.31034198484485,2023-07-01
422.21482002572577,2023-08-01
418.11929806660675,2023-09-01
414.1558897190721,2023-10-01
410.060367759953,2023-11-01
406.09695941241847,2023-12-01
