°­µ¿±¸,Date
348.27325393084476,2023-01-01
290.64320181905043,2023-02-01
227.51200732160797,2023-03-01
306.32482972973946,2023-04-01
349.1821778204062,2023-05-01
361.7071130994062,2023-06-01
365.9189269876608,2023-07-01
303.7718789799835,2023-08-01
426.5213192280917,2023-09-01
190.71941608804377,2023-10-01
461.0631205205487,2023-11-01
266.67148441555526,2023-12-01
389.5976737527121,2024-01-01
339.2976251138269,2024-02-01
349.60124589714667,2024-03-01
318.0422343341659,2024-04-01
334.74135553848225,2024-05-01
376.7126669544448,2024-06-01
411.8170085635495,2024-07-01
402.02879226981247,2024-08-01
210.44421184085598,2024-09-01
382.34627550304367,2024-10-01
405.8932509887775,2024-11-01
404.3156730938378,2024-12-01
336.06158497124517,2025-01-01
259.6679075627043,2025-02-01
331.8678976983705,2025-03-01
336.2867372276061,2025-04-01
362.14756460146,2025-05-01
394.60396084958364,2025-06-01
419.2665635165551,2025-07-01
390.90388825331377,2025-08-01
305.35120617552946,2025-09-01
341.80700651379595,2025-10-01
446.86939077932925,2025-11-01
380.7318645076192,2025-12-01
375.6613253946271,2026-01-01
309.329335113851,2026-02-01
313.7810249892733,2026-03-01
355.0002564159933,2026-04-01
389.5861876465209,2026-05-01
412.22329222178473,2026-06-01
426.582457702841,2026-07-01
380.7681110200634,2026-08-01
400.0208706459736,2026-09-01
300.5382813959424,2026-10-01
487.8809736877998,2026-11-01
357.45959841213363,2026-12-01
