°­¼­±¸,Date
474.4597631568746,2023-01-01
410.0380596998559,2023-02-01
299.76779634741985,2023-03-01
437.53363275774865,2023-04-01
423.8654601784659,2023-05-01
462.4884833046491,2023-06-01
512.3294653490682,2023-07-01
426.0157058675698,2023-08-01
463.13611197999546,2023-09-01
425.09824240422245,2023-10-01
423.8441464667318,2023-11-01
318.51695283111906,2023-12-01
579.8454371482107,2024-01-01
511.031826294328,2024-02-01
547.1119274847216,2024-03-01
470.74163120895776,2024-04-01
494.5771763902612,2024-05-01
491.52230177384104,2024-06-01
498.6499475369514,2024-07-01
520.6860195967295,2024-08-01
352.09361299901104,2024-09-01
556.3668864220416,2024-10-01
513.3520559924827,2024-11-01
525.6790734992998,2024-12-01
435.0262920109696,2025-01-01
370.8817990767866,2025-02-01
521.1223339792668,2025-03-01
514.7245582567541,2025-04-01
526.2270537481213,2025-05-01
536.9166471095854,2025-06-01
558.8708742466761,2025-07-01
544.4750054934792,2025-08-01
445.06534115386455,2025-09-01
569.2881320430221,2025-10-01
539.367231895181,2025-11-01
510.71227545439405,2025-12-01
537.3454757050678,2026-01-01
474.4791964072642,2026-02-01
494.2429443218458,2026-03-01
559.2402749756579,2026-04-01
558.24455980457,2026-05-01
582.8329735471709,2026-06-01
619.0295983816111,2026-07-01
568.5101908566721,2026-08-01
537.6875812668594,2026-09-01
581.113843590218,2026-10-01
565.1085672847117,2026-11-01
497.2333444232042,2026-12-01
