±ÝÃµ±¸,Date
213.4403724792387,2023-01-01
208.43917020880332,2023-02-01
116.3416010710289,2023-03-01
164.0861793598905,2023-04-01
196.29180189426955,2023-05-01
259.91649173084136,2023-06-01
299.02818946219725,2023-07-01
248.16131619948538,2023-08-01
85.50766852817608,2023-09-01
243.30039595597123,2023-10-01
274.47970505586153,2023-11-01
171.2146024058389,2023-12-01
213.48233368099315,2024-01-01
231.08179640532356,2024-02-01
216.43265749570458,2024-03-01
186.93772248344155,2024-04-01
215.1653427844001,2024-05-01
187.1910555689515,2024-06-01
216.61796965191684,2024-07-01
187.41099240047006,2024-08-01
327.64987289301445,2024-09-01
204.50368616093897,2024-10-01
171.60576544377642,2024-11-01
191.7723021801972,2024-12-01
199.98607247331745,2025-01-01
147.67110544142773,2025-02-01
178.85367150013477,2025-03-01
174.26001471494897,2025-04-01
203.5092295913182,2025-05-01
206.24296380097525,2025-06-01
239.9496106936542,2025-07-01
204.6874459851688,2025-08-01
242.5800245697004,2025-09-01
211.32438177806844,2025-10-01
201.09353880148248,2025-11-01
180.57761656210863,2025-12-01
199.73089171572127,2026-01-01
171.42008227915048,2026-02-01
140.87278743849419,2026-03-01
162.03149204189197,2026-04-01
192.61351514888534,2026-05-01
225.8929724958224,2026-06-01
262.8302614104093,2026-07-01
220.33607948871438,2026-08-01
157.23261951475246,2026-09-01
219.65323915395976,2026-10-01
230.7942252434241,2026-11-01
169.12265788040386,2026-12-01
