±¸·Î±¸,Date
341.31373409081255,2023-01-01
236.53679903408369,2023-02-01
234.0075654155316,2023-03-01
301.9783466701518,2023-04-01
350.4695037104734,2023-05-01
420.28127464198343,2023-06-01
278.47601789137155,2023-07-01
412.5063198175246,2023-08-01
322.99921891325323,2023-09-01
331.1001394288023,2023-10-01
342.50020583732226,2023-11-01
234.75917527077394,2023-12-01
391.1937654232197,2024-01-01
251.85598673539926,2024-02-01
330.5479868118363,2024-03-01
309.48493238765707,2024-04-01
353.3900510464158,2024-05-01
324.268770257385,2024-06-01
414.2222710471101,2024-07-01
342.401026982778,2024-08-01
309.97774104444295,2024-09-01
368.1976643061876,2024-10-01
327.5654530417025,2024-11-01
349.8259676672656,2024-12-01
260.73217356413556,2025-01-01
221.0461872435003,2025-02-01
304.4153378161393,2025-03-01
312.378794135455,2025-04-01
357.83238483205446,2025-05-01
362.564275351971,2025-06-01
374.89974321206626,2025-07-01
371.15079331642266,2025-08-01
320.5195926866887,2025-09-01
361.85072087747886,2025-10-01
338.6109570042026,2025-11-01
316.68541022747615,2025-12-01
309.5300733687678,2026-01-01
237.97878635171793,2026-02-01
278.0827685903721,2026-03-01
315.732659601454,2026-04-01
362.72123414913483,2026-05-01
400.4373612850169,2026-06-01
335.49861046651074,2026-07-01
400.3847678906601,2026-08-01
330.7227815608219,2026-09-01
355.34069613172295,2026-10-01
349.4465953210529,2026-11-01
284.1796047695034,2026-12-01
