Áß±¸,Date
357.1329465280337,2023-01-01
256.45850305547094,2023-02-01
175.145769693711,2023-03-01
351.3217735162989,2023-04-01
336.73181834505294,2023-05-01
375.43150443914305,2023-06-01
393.31538241361375,2023-07-01
225.0112444127975,2023-08-01
335.18642404705446,2023-09-01
372.24900713488773,2023-10-01
301.91455635773195,2023-11-01
268.5806293345016,2023-12-01
447.5007205301289,2024-01-01
291.6955086132409,2024-02-01
413.8638086242298,2024-03-01
311.0755842805012,2024-04-01
337.1769730547309,2024-05-01
346.8356631949291,2024-06-01
375.29013234810077,2024-07-01
386.3312506637792,2024-08-01
389.09351000909203,2024-09-01
338.15830112218424,2024-10-01
353.626907977016,2024-11-01
366.911684856946,2024-12-01
300.3623310583702,2025-01-01
305.08658594940084,2025-02-01
375.21339538363304,2025-03-01
364.52404708093655,2025-04-01
378.0204814496943,2025-05-01
397.7451287223128,2025-06-01
423.6098116113635,2025-07-01
374.2383689108112,2025-08-01
411.67437478293067,2025-09-01
390.6354282446996,2025-10-01
377.9203023620418,2025-11-01
374.6051658839142,2025-12-01
390.6208051638277,2026-01-01
343.4749912549347,2026-02-01
336.8925773490495,2026-03-01
419.2203970203884,2026-04-01
419.15836240027824,2026-05-01
448.5658936497636,2026-06-01
470.899813438119,2026-07-01
361.72648819298956,2026-08-01
434.9773581635145,2026-09-01
443.28324591486825,2026-10-01
401.95822114896237,2026-11-01
383.1029330959199,2026-12-01
