Áß¶û±¸,Date
203.82866417133317,2023-01-01
186.96286719082758,2023-02-01
132.89249834398214,2023-03-01
211.89600339024184,2023-04-01
309.0737044214751,2023-05-01
332.66925098600655,2023-06-01
209.12506237112186,2023-07-01
172.78279498049903,2023-08-01
281.3581562777981,2023-09-01
203.0129063819385,2023-10-01
454.54783986487485,2023-11-01
158.59278303275102,2023-12-01
191.021294977953,2024-01-01
197.28620509187397,2024-02-01
254.653523775978,2024-03-01
188.94798381168098,2024-04-01
192.1380408646909,2024-05-01
232.0949351502254,2024-06-01
311.7939465540423,2024-07-01
236.6073534441012,2024-08-01
186.061818361556,2024-09-01
285.57516852476977,2024-10-01
223.01487648416608,2024-11-01
282.40839665937267,2024-12-01
169.43231182703335,2025-01-01
103.43913414081493,2025-02-01
193.5180577709006,2025-03-01
174.92841892309355,2025-04-01
210.31984555403957,2025-05-01
246.20615502099866,2025-06-01
257.873159597764,2025-07-01
194.09669139175145,2025-08-01
196.9530426512681,2025-09-01
236.87344335155854,2025-10-01
279.88114766392295,2025-11-01
221.430007161251,2025-12-01
155.60499203443624,2026-01-01
114.64564547707036,2026-02-01
132.40076941840283,2026-03-01
162.06367721905394,2026-04-01
228.8008073052393,2026-05-01
259.22798778003636,2026-06-01
203.12006099237828,2026-07-01
152.29529925934068,2026-08-01
208.2089940556723,2026-09-01
188.83509472449427,2026-10-01
336.56636167768477,2026-11-01
159.63205338656115,2026-12-01
