¸¶Æ÷±¸,Date
331.81767159680936,2023-01-01
212.30323730649184,2023-02-01
133.8677794687224,2023-03-01
185.17009307424155,2023-04-01
219.3773892784831,2023-05-01
322.8125225686201,2023-06-01
193.0996763985591,2023-07-01
247.14098746790518,2023-08-01
296.76563484729536,2023-09-01
178.20696127556255,2023-10-01
227.4228208647798,2023-11-01
221.354354505657,2023-12-01
376.64753441248547,2024-01-01
226.09291781769448,2024-02-01
240.86463601375075,2024-03-01
230.95299351839407,2024-04-01
216.39962168835825,2024-05-01
189.24755360718905,2024-06-01
260.44710662755386,2024-07-01
215.33400206481497,2024-08-01
118.05925016912875,2024-09-01
302.91007683038123,2024-10-01
292.836040667136,2024-11-01
260.8548800739565,2024-12-01
183.7988205584739,2025-01-01
120.71098612977798,2025-02-01
185.83124703832942,2025-03-01
195.104084276124,2025-04-01
196.31668339692757,2025-05-01
213.6461049335048,2025-06-01
218.0731303542578,2025-07-01
205.09525310488732,2025-08-01
158.26330152181043,2025-09-01
242.33617834654905,2025-10-01
250.47599708608132,2025-11-01
226.04227274227162,2025-12-01
227.23326751057624,2026-01-01
136.88337629867317,2026-02-01
130.0102096505825,2026-03-01
159.69181545298787,2026-04-01
177.17057779043,2026-05-01
238.04202281247396,2026-06-01
175.47974520569124,2026-07-01
195.5642860694475,2026-08-01
197.71130425957847,2026-09-01
180.6130038989285,2026-10-01
208.5161418961789,2026-11-01
192.73334079097492,2026-12-01
