¾çÃµ±¸,Date
-0.4957283640401714,2023-01-01
-0.08074976521892818,2023-02-01
1.4234834520303157,2023-03-01
-0.6421273176448599,2023-04-01
-0.6782084475465474,2023-05-01
-0.06127248417087866,2023-06-01
-0.6680751767714098,2023-07-01
0.03602428394631374,2023-08-01
-0.5112643256891002,2023-09-01
0.21131187602009627,2023-10-01
-0.3687461550264823,2023-11-01
-0.330663352840619,2023-12-01
-0.76954496230698,2024-01-01
-0.710849765895895,2024-02-01
-1.1550585472082249,2024-03-01
-0.1345387549669751,2024-04-01
-0.1010824472067241,2024-05-01
-0.9108301609485814,2024-06-01
-0.10677796027706499,2024-07-01
-0.9585350686556527,2024-08-01
-0.18567007716481587,2024-09-01
-1.049343313725777,2024-10-01
-0.26478366902075157,2024-11-01
-0.2779724388499002,2024-12-01
-0.8937585019620186,2025-01-01
0.2659325046485561,2025-02-01
-0.6092697096067328,2025-03-01
-0.6050266917996067,2025-04-01
-0.6104409702359592,2025-05-01
-0.9436207807438453,2025-06-01
-0.610549209647138,2025-07-01
-0.9441129207811945,2025-08-01
-0.6104520769324988,2025-09-01
-0.9428329567287359,2025-10-01
-0.6074247197117222,2025-11-01
-0.6090145757144544,2025-12-01
-1.1662689234868213,2026-01-01
-0.38424801102795614,2026-02-01
-0.0640916919063379,2026-03-01
-1.0888670303450612,2026-04-01
-1.1175270142156803,2026-05-01
-0.9750091058113032,2026-06-01
-1.1123136952593238,2026-07-01
-0.9271313182094899,2026-08-01
-1.0336001519351479,2026-09-01
-0.8371029851726749,2026-10-01
-0.9566995209462477,2026-11-01
-0.941237158258825,2026-12-01
