Date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
20년1월_살인,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,1,2,0,1
20년2월_살인,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0
20년3월_살인,1,0,0,1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
20년4월_살인,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,3
20년5월_살인,0,1,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,1,0
20년6월_살인,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20년7월_살인,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0
20년8월_살인,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0
20년9월_살인,1,1,1,0,0,0,2,1,0,0,0,1,0,0,3,0,3,1,1,0,1,0,0,0,1
20년10월_살인,2,1,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
20년11월_살인,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,1,2,1,1,1,2,0,0,0
20년12월_살인,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0
21년1월_살인,1,0,0,0,1,0,0,3,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
21년2월_살인,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
21년3월_살인,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21년4월_살인,1,1,0,1,1,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
21년5월_살인,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
21년6월_살인,2,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0
21년7월_살인,1,0,0,1,1,1,2,0,2,0,0,0,1,1,0,1,0,0,0,3,0,1,0,1,0
21년8월_살인,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2
21년9월_살인,2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
21년10월_살인,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,0,1
21년11월_살인,0,0,1,2,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,1,0
21년12월_살인,1,0,0,0,3,2,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
22년1월_살인,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
22년2월_살인,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
22년3월_살인,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22년4월_살인,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
22년5월_살인,2,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
22년6월_살인,3,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1
22년7월_살인,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
22년8월_살인,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
22년9월_살인,3,1,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1
22년10월_살인,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,2,0,0,0,1,2,0,1,0,0
22년11월_살인,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22년12월_살인,0,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
