³ë¿ø±¸,Date
202.49704626952524,2023-01-01
177.30995781581737,2023-02-01
173.044949700124,2023-03-01
179.88764686240677,2023-04-01
228.71005816475162,2023-05-01
297.8973084549741,2023-06-01
285.44199667609786,2023-07-01
269.48737580763617,2023-08-01
225.55618879042405,2023-09-01
180.0829625473683,2023-10-01
321.68389051848783,2023-11-01
246.16955620853255,2023-12-01
180.3854035983553,2024-01-01
165.3287379576718,2024-02-01
168.83504245581355,2024-03-01
196.28057974196537,2024-04-01
249.09895393271145,2024-05-01
198.3366509631447,2024-06-01
229.27495723928774,2024-07-01
240.0801164922753,2024-08-01
241.77731538151855,2024-09-01
209.29775947041375,2024-10-01
242.8513479202132,2024-11-01
228.17141955684988,2024-12-01
146.44759797147583,2025-01-01
100.073623978946,2025-02-01
137.08074238813654,2025-03-01
157.30527272901654,2025-04-01
208.09619536601386,2025-05-01
197.49953797789863,2025-06-01
214.80453107014694,2025-07-01
216.87133337471587,2025-08-01
203.13941182454835,2025-09-01
165.5298222654044,2025-10-01
235.2358341068906,2025-11-01
200.66171641171582,2025-12-01
124.06034275586205,2026-01-01
88.43118166493302,2026-02-01
104.91956889375378,2026-03-01
118.27252226537715,2026-04-01
167.7344272359629,2026-05-01
197.1351176205278,2026-06-01
199.97270650502762,2026-07-01
193.11317968623118,2026-08-01
164.16434482474884,2026-09-01
122.22378874988028,2026-10-01
227.95745049152242,2026-11-01
173.10129813816042,2026-12-01
