자치구,범죄건수
도봉구,327.8932684582687
동대문구,104.35652727970972
동작구,220.7417418905079
은평구,250.4722761288191
강북구,237.36036234319624
강서구,318.51695283111906
금천구,171.2146024058389
구로구,234.75917527077394
관악구,233.97421861120407
광진구,291.82312347201065
종로구,158.2755324953074
중구,268.5806293345016
중랑구,158.59278303275102
마포구,221.3543545
노원구,246.16955620853255
서초구,195.97256386916374
서대문구,469.6225288600165
성북구,206.97262022104763
성동구,382.7415304780817
송파구,455.7363896
양천구,250.08071831775226
영등포구,345.0683443254778
용산구,326.3260674
강남구,597.1235441
강동구,266.6714844
