자치구,20년1월_강간/강제추행,20년2월_강간/강제추행,20년3월_강간/강제추행,20년4월_강간/강제추행,20년5월_강간/강제추행,20년6월_강간/강제추행,20년7월_강간/강제추행,20년8월_강간/강제추행,20년9월_강간/강제추행,20년10월_강간/강제추행,20년11월_강간/강제추행,20년12월_강간/강제추행,21년1월_강간/강제추행,21년2월_강간/강제추행,21년3월_강간/강제추행,21년4월_강간/강제추행,21년5월_강간/강제추행,21년6월_강간/강제추행,21년7월_강간/강제추행,21년8월_강간/강제추행,21년9월_강간/강제추행,21년10월_강간/강제추행,21년11월_강간/강제추행,21년12월_강간/강제추행,22년1월_강간/강제추행,22년2월_강간/강제추행,22년3월_강간/강제추행,22년4월_강간/강제추행,22년5월_강간/강제추행,22년6월_강간/강제추행,22년7월_강간/강제추행,22년8월_강간/강제추행,22년9월_강간/강제추행,22년10월_강간/강제추행,22년11월_강간/강제추행,22년12월_강간/강제추행
강남구,65,46,64,53,48,58,57,60,19,45,63,78,33,39,49,45,70,46,54,53,51,45,47,46,56,33,38,47,61,49,65,72,65,61,64,56
강동구,12,9,7,13,12,20,26,21,10,23,13,13,10,5,7,10,9,11,15,10,13,11,15,8,12,13,12,9,12,16,16,16,9,12,15,15
강북구,13,16,9,10,16,18,14,20,16,9,13,9,6,1,7,11,15,20,15,13,10,12,17,9,11,5,9,22,15,17,17,20,17,10,16,18
강서구,33,17,23,17,16,21,22,35,11,21,21,17,14,10,16,16,27,16,25,21,16,19,40,26,19,12,20,21,22,18,24,29,17,30,24,25
관악구,37,26,27,22,20,34,38,33,18,43,40,44,20,14,29,17,25,28,33,31,34,12,49,29,22,21,23,27,17,25,33,42,26,40,27,24
광진구,20,21,19,23,17,20,23,32,7,19,19,21,17,10,10,12,25,24,18,25,11,13,24,19,20,8,6,17,22,31,20,22,17,33,23,11
구로구,18,5,12,11,11,17,28,18,18,19,18,15,6,3,14,13,10,15,18,21,19,21,22,20,18,9,16,16,17,25,27,22,16,16,27,8
금천구,8,10,10,10,11,13,14,8,38,5,6,7,7,11,9,14,6,8,13,13,8,19,15,11,20,10,10,5,5,10,11,16,13,10,11,6
노원구,7,11,6,16,13,10,17,20,21,19,11,16,9,8,5,13,16,17,15,10,18,19,17,9,13,9,11,11,17,20,27,20,18,17,18,13
도봉구,8,8,9,6,4,12,10,5,6,4,3,7,4,4,6,10,8,7,4,5,4,5,8,7,10,7,8,16,12,14,17,28,9,17,23,19
동대문구,11,8,8,12,14,20,14,16,29,11,14,15,7,6,10,14,14,13,21,15,17,18,21,13,7,4,6,1,7,7,6,10,4,6,7,5
동작구,21,10,8,18,26,28,15,16,21,19,16,20,12,4,8,12,26,18,16,18,23,8,18,17,14,8,1,5,13,14,8,15,7,16,12,12
마포구,32,24,49,20,28,24,30,25,6,23,27,28,16,16,23,31,25,34,27,32,23,28,39,27,15,19,7,17,14,18,23,24,16,29,16,14
서대문구,20,8,16,9,15,15,6,15,12,14,8,17,10,9,11,4,12,5,17,18,12,7,11,21,42,26,17,31,34,19,57,46,32,47,47,38
서초구,6,5,2,5,4,5,5,12,17,4,5,35,14,13,22,24,25,27,31,30,28,36,38,24,18,15,9,10,12,8,15,13,9,16,20,12
성동구,11,11,7,9,4,15,7,15,56,14,3,13,5,3,7,9,9,11,10,15,13,2,21,5,30,21,44,31,41,43,38,40,43,42,29,29
성북구,7,10,11,15,7,17,14,15,63,9,19,8,7,6,9,7,7,12,13,15,11,6,14,11,10,5,9,12,10,9,14,14,7,13,13,9
송파구,23,16,18,27,24,26,31,24,18,14,25,30,10,6,25,27,20,21,34,25,24,11,23,21,18,15,23,28,37,22,32,26,21,23,22,23
양천구,11,8,9,16,6,13,7,7,1,8,9,9,6,7,6,7,8,9,15,11,11,14,9,13,8,6,9,18,9,10,11,12,7,8,7,9
영등포구,33,23,22,20,32,22,32,27,25,25,28,30,12,15,28,28,19,25,27,39,25,21,18,22,20,16,23,28,23,36,31,35,25,39,27,24
용산구,23,23,32,28,14,16,14,13,27,8,25,15,7,5,11,5,9,10,19,17,8,14,21,15,20,9,19,8,22,28,36,26,27,25,32,28
은평구,15,8,10,13,15,16,20,15,35,13,13,20,3,5,8,17,9,18,12,14,18,22,25,15,17,13,12,15,12,15,7,17,9,25,19,15
종로구,8,12,18,9,19,21,26,16,31,17,9,63,10,9,14,4,12,10,22,16,12,16,14,17,22,8,9,17,10,15,12,14,4,16,18,13
중구,22,16,11,16,14,19,20,16,13,8,9,15,8,3,14,9,14,16,21,19,16,11,17,13,8,5,6,13,13,20,17,15,13,15,11,14
중랑구,14,15,14,8,12,22,21,14,15,16,14,16,7,6,8,11,12,14,22,17,12,9,13,10,14,10,3,15,24,19,29,27,23,24,15,25
