동대문구,Date
-1.4583095038150287,2023-01-01
-4.352469596439558,2023-02-01
3.772512878267108,2023-03-01
-3.496156161523376,2023-04-01
4.144511311264079,2023-05-01
1.0745570598282796,2023-06-01
7.341001312349696,2023-07-01
9.617566518372236,2023-08-01
-5.815016534722917,2023-09-01
8.843375665415646,2023-10-01
8.025066090813667,2023-11-01
0.9264232983743668,2023-12-01
-6.907011301961556,2024-01-01
-10.531974071330026,2024-02-01
-8.466039504958081,2024-03-01
-3.35005644023855,2024-04-01
-3.153079370654774,2024-05-01
0.894842055046353,2024-06-01
-1.7233165142074358,2024-07-01
-2.9827157881674173,2024-08-01
9.333117382278623,2024-09-01
-5.39966145002688,2024-10-01
-1.6165158419761214,2024-11-01
-2.5865098580986183,2024-12-01
-9.203374215920869,2025-01-01
-10.47242972561376,2025-02-01
-10.581353562419398,2025-03-01
-9.574602216052908,2025-04-01
-6.916082584891967,2025-05-01
-5.255016313823693,2025-06-01
-4.924416968877699,2025-07-01
-4.8845846075116945,2025-08-01
-1.915226200585101,2025-09-01
-6.947539611880837,2025-10-01
-4.571079973287995,2025-11-01
-7.565120319122852,2025-12-01
-14.615245884072648,2026-01-01
-16.724062259435236,2026-02-01
-12.697061750297783,2026-03-01
-15.819599354465616,2026-04-01
-10.679438218279568,2026-05-01
-11.391451195524537,2026-06-01
-8.098306480326048,2026-07-01
-6.879944441020555,2026-08-01
-13.162661165405705,2026-09-01
-8.394994327085872,2026-10-01
-7.552310567816702,2026-11-01
-12.590219893878816,2026-12-01
