º≠√ ±∏,Date
15.98049534626579,2023-01-01
14.275223034626698,2023-02-01
21.133086535011174,2023-03-01
17.73717686092353,2023-04-01
19.067698326024235,2023-05-01
12.958991784124827,2023-06-01
23.8307604382587,2023-07-01
18.08822558793356,2023-08-01
11.76931996752906,2023-09-01
34.48490407305829,2023-10-01
41.24415176580611,2023-11-01
8.330053222455163,2023-12-01
17.227630552942628,2024-01-01
15.449344049078636,2024-02-01
13.791869025217853,2024-03-01
18.424819752754775,2024-04-01
18.73630953051649,2024-05-01
21.32228259127774,2024-06-01
21.37368712808722,2024-07-01
26.21518631253999,2024-08-01
29.046419094750565,2024-09-01
18.699775127683512,2024-10-01
18.484286859235777,2024-11-01
39.00240937656827,2024-12-01
21.579910154527646,2025-01-01
20.001196021534252,2025-02-01
18.81896025185252,2025-03-01
20.83574784016977,2025-04-01
21.5042735546578,2025-05-01
21.154957258984414,2025-06-01
24.813645931563006,2025-07-01
26.153408618912167,2025-08-01
25.756982667685133,2025-09-01
26.42014714223592,2025-10-01
28.869708732041502,2025-11-01
31.52581036648833,2025-12-01
22.639878698255398,2026-01-01
21.000141909348425,2026-02-01
23.87101194044433,2026-03-01
23.210783782117165,2026-04-01
24.21855184067836,2026-05-01
20.97017322157364,2026-06-01
28.236389127704143,2026-07-01
26.046879068295784,2026-08-01
22.599975088697633,2026-09-01
34.288218690077855,2026-10-01
39.06297571450874,2026-11-01
23.902145852927237,2026-12-01
