°­µ¿±¸,Date
0.22939863748543698,2023-01-01
-0.09240599598436139,2023-02-01
-0.47052922038992095,2023-03-01
1.0926459909377435,2023-04-01
-0.5142161410939996,2023-05-01
0.6347596020656576,2023-06-01
0.657671881808969,2023-07-01
0.7431590746661592,2023-08-01
-0.9647418810957855,2023-09-01
-1.669006639809406,2023-10-01
-0.07635526624575911,2023-11-01
0.06643149079048358,2023-12-01
-0.20085040191271492,2024-01-01
-0.01672694678423642,2024-02-01
0.3012655183858609,2024-03-01
-0.987792360884914,2024-04-01
2.3262573617082323,2024-05-01
-0.2263848185684311,2024-06-01
-0.7503835898010358,2024-07-01
-1.3115730004722612,2024-08-01
-0.9673171859170216,2024-09-01
-0.09810912445705873,2024-10-01
-0.3829963629405906,2024-11-01
-0.9632283125641568,2024-12-01
-0.33150312307468366,2025-01-01
-1.6834067114091575,2025-02-01
-0.4308814598038934,2025-03-01
-0.7616266738914167,2025-04-01
0.9033093721055985,2025-05-01
-0.4375221919041239,2025-06-01
-0.7661752167819416,2025-07-01
-1.0941886538869179,2025-08-01
-1.4245474852581077,2025-09-01
-1.0989216458328974,2025-10-01
-0.7703389630812233,2025-11-01
-1.1017333456141496,2025-12-01
-0.768788524014623,2026-01-01
-1.6027164177058704,2026-02-01
-1.1655173079698906,2026-03-01
-0.5453541987252501,2026-04-01
-0.5211755954357068,2026-05-01
-0.6277759627188292,2026-06-01
-0.7739094373718522,2026-07-01
-0.8863297448833906,2026-08-01
-1.9010341597520046,2026-09-01
-2.1001251006555792,2026-10-01
-1.1454843380014064,2026-11-01
-1.235729776848108,2026-12-01
