Date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
20년1월_강도,1,1,2,1,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
20년2월_강도,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,2,1,0,0,0
20년3월_강도,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1
20년4월_강도,0,1,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1
20년5월_강도,2,5,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1
20년6월_강도,2,2,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
20년7월_강도,2,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0
20년8월_강도,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
20년9월_강도,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0
20년10월_강도,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0
20년11월_강도,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
20년12월_강도,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
21년1월_강도,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0
21년2월_강도,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1
21년3월_강도,5,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,2,1
21년4월_강도,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
21년5월_강도,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
21년6월_강도,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
21년7월_강도,2,2,0,1,2,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,2,1,0
21년8월_강도,3,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
21년9월_강도,5,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0
21년10월_강도,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0
21년11월_강도,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2
21년12월_강도,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
22년1월_강도,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
22년2월_강도,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22년3월_강도,1,0,1,1,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
22년4월_강도,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22년5월_강도,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0
22년6월_강도,2,1,0,0,1,0,1,1,1,0,0,1,1,1,2,1,0,1,2,1,1,0,0,0,0
22년7월_강도,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4
22년8월_강도,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
22년9월_강도,1,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,3,0,1,0,1
22년10월_강도,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
22년11월_강도,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
22년12월_강도,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
