º≠√ ±∏,Date
235.24535306974826,2023-01-01
212.31530848807756,2023-02-01
345.0668666556909,2023-03-01
238.45094468414348,2023-04-01
229.03322267688375,2023-05-01
289.1684771165057,2023-06-01
268.54171811430155,2023-07-01
297.35175138405606,2023-08-01
157.77855887200587,2023-09-01
379.01030252685155,2023-10-01
538.0271806442825,2023-11-01
195.97256386916374,2023-12-01
259.90314784373635,2024-01-01
232.69999768755648,2024-02-01
271.70762982147585,2024-03-01
273.7141562414693,2024-04-01
284.6710672520459,2024-05-01
302.50672285152535,2024-06-01
320.54864761368674,2024-07-01
309.10586450880885,2024-08-01
439.4646693716711,2024-09-01
265.0355098735074,2024-10-01
283.9353834645972,2024-11-01
481.9466218983978,2024-12-01
336.48437874245917,2025-01-01
323.0628133264174,2025-02-01
345.5128497799218,2025-03-01
312.0377241428189,2025-04-01
315.840137211465,2025-05-01
347.81490648857266,2025-06-01
353.088129242972,2025-07-01
355.5455251609654,2025-08-01
394.2857057684725,2025-09-01
350.55865653081014,2025-10-01
419.7849698119275,2025-11-01
437.92712934410247,2025-12-01
360.0053873758837,2026-01-01
341.66149659358706,2026-02-01
419.5893532240661,2026-03-01
349.8962543007477,2026-04-01
346.9022464601601,2026-05-01
392.98018180868434,2026-06-01
385.35979761340974,2026-07-01
401.23135812704794,2026-08-01
349.9728536407291,2026-09-01
438.18196806199035,2026-10-01
554.1274303406058,2026-11-01
392.18574333849637,2026-12-01
