서대문구,Date
457.83469444981733,2023-01-01
383.1113429935242,2023-02-01
403.40810517778976,2023-03-01
440.5286068609349,2023-04-01
513.9337964973912,2023-05-01
491.86915625826225,2023-06-01
551.1635679969755,2023-07-01
475.50040718613616,2023-08-01
366.1621403242579,2023-09-01
450.34519474484995,2023-10-01
695.4722327568663,2023-11-01
469.6225288600165,2023-12-01
610.8889992778445,2024-01-01
515.0611202448079,2024-02-01
605.3980551987097,2024-03-01
591.9572325184087,2024-04-01
612.6486685335435,2024-05-01
600.4765952271499,2024-06-01
620.45678095207,2024-07-01
653.4801696812864,2024-08-01
644.9559548138632,2024-09-01
629.2324011359802,2024-10-01
647.4106240566142,2024-11-01
664.7706274276411,2024-12-01
713.4295361604796,2025-01-01
680.3239021403796,2025-02-01
725.42264054147,2025-03-01
728.3715148988206,2025-04-01
766.9044625518853,2025-05-01
751.7507847424146,2025-06-01
785.605807070652,2025-07-01
782.8248324325039,2025-08-01
739.4977401520057,2025-09-01
755.5775802305144,2025-10-01
850.7243408109008,2025-11-01
787.9188322492622,2025-12-01
867.1180960825815,2026-01-01
813.3093299284235,2026-02-01
845.6361575384645,2026-03-01
865.4461313105504,2026-04-01
921.559695389293,2026-05-01
903.1099367783734,2026-06-01
950.0701011751505,2026-07-01
911.04362650929,2026-08-01
834.0986662840907,2026-09-01
883.4986857388174,2026-10-01
1054.320281422165,2026-11-01
910.4228525530558,2026-12-01
