¼ºµ¿±¸,Date
455.6049357281862,2023-01-01
387.7355047538134,2023-02-01
293.0923694208427,2023-03-01
360.0535147376363,2023-04-01
490.30843084599076,2023-05-01
477.13712778072016,2023-06-01
494.49107682261507,2023-07-01
446.1777607397965,2023-08-01
346.32955105556397,2023-09-01
435.8585237023728,2023-10-01
541.4351170976307,2023-11-01
382.7415304780817,2023-12-01
589.0267184454428,2024-01-01
493.37176472038396,2024-02-01
536.6263186681726,2024-03-01
530.8185622977776,2024-04-01
490.47874508202966,2024-05-01
511.2235501067553,2024-06-01
510.4197372993818,2024-07-01
507.28579158963225,2024-08-01
649.4912318938246,2024-09-01
516.5652946181523,2024-10-01
529.0583061552217,2024-11-01
541.9756500292315,2024-12-01
544.2989837360024,2025-01-01
527.6307898914539,2025-02-01
574.2769198131735,2025-03-01
591.0874957681089,2025-04-01
607.8207140429906,2025-05-01
618.1455183956411,2025-06-01
624.1444896988976,2025-07-01
606.8512670442807,2025-08-01
667.0826032698667,2025-09-01
606.6222306747356,2025-10-01
651.3388357303112,2025-11-01
606.9975020677613,2025-12-01
677.4707073742591,2026-01-01
635.940145375301,2026-02-01
611.4721429305076,2026-03-01
652.5483863367937,2026-04-01
726.1719127468209,2026-05-01
725.1929762304676,2026-06-01
737.2434704931214,2026-07-01
704.877139530079,2026-08-01
684.3973565296213,2026-09-01
698.1135677705261,2026-10-01
773.8719459809103,2026-11-01
672.3151414446993,2026-12-01
