¼ÛÆÄ±¸,Date
477.7835951205356,2023-01-01
329.8787450059796,2023-02-01
444.51079441476395,2023-03-01
473.91799834521186,2023-04-01
455.7922618008698,2023-05-01
588.364998629017,2023-06-01
435.49243822803703,2023-07-01
527.2787549845822,2023-08-01
443.82542288868376,2023-09-01
457.93830695034416,2023-10-01
544.7457531612488,2023-11-01
455.73638962196,2023-12-01
550.7823097917452,2024-01-01
370.8285687733742,2024-02-01
507.8048372466369,2024-03-01
510.38248468709367,2024-04-01
537.127644010386,2024-05-01
538.753819375419,2024-06-01
563.4716728928466,2024-07-01
541.5011675915874,2024-08-01
465.27101308670456,2024-09-01
467.5030596877846,2024-10-01
605.2107042774901,2024-11-01
587.9084116429545,2024-12-01
492.02556003635414,2025-01-01
405.88199049356797,2025-02-01
539.8012384485602,2025-03-01
551.2343612557671,2025-04-01
562.6538889100266,2025-05-01
608.4123191198119,2025-06-01
573.9308543305291,2025-07-01
589.3189613447556,2025-08-01
511.00190902746334,2025-09-01
517.568947545114,2025-10-01
638.542903394878,2025-11-01
596.2804625455832,2025-12-01
564.1214230319267,2026-01-01
447.49304504717884,2026-02-01
571.6670164115443,2026-03-01
592.0446120980349,2026-04-01
588.5059396944712,2026-05-01
677.9236873991146,2026-06-01
584.2294387610475,2026-07-01
637.5460613855789,2026-08-01
556.8237984028934,2026-09-01
567.3511004984455,2026-10-01
671.3500979539414,2026-11-01
605.1798418107513,2026-12-01
