µµºÀ±¸,Date
162.94752016720224,2023-01-01
136.21223116848398,2023-02-01
88.66546480489797,2023-03-01
114.28992256770141,2023-04-01
174.73164116602865,2023-05-01
147.55813152613655,2023-06-01
171.45966372347164,2023-07-01
153.16439735890202,2023-08-01
160.54646696898814,2023-09-01
111.50541285432422,2023-10-01
208.09074884172475,2023-11-01
143.7576165100616,2023-12-01
211.71636766784133,2024-01-01
183.44937149823275,2024-02-01
181.7939941342582,2024-03-01
176.67427287333564,2024-04-01
170.8156824420416,2024-05-01
188.72248383062373,2024-06-01
190.86797265038334,2024-07-01
165.34710000697947,2024-08-01
177.85984964504306,2024-09-01
206.28289918210675,2024-10-01
222.7268789485964,2024-11-01
203.45573601852075,2024-12-01
193.7436364889145,2025-01-01
167.91748772516863,2025-02-01
193.57492659295616,2025-03-01
198.02454418429954,2025-04-01
214.4315484593726,2025-05-01
217.50876985891375,2025-06-01
226.837781763534,2025-07-01
203.90261548810645,2025-08-01
215.01417101688142,2025-09-01
217.21467557535888,2025-10-01
260.1403685328946,2025-11-01
225.75468353641065,2025-12-01
241.98301272554906,2026-01-01
216.0620881074333,2026-02-01
205.04068820882833,2026-03-01
219.74151789096572,2026-04-01
258.2571920932163,2026-05-01
246.3046377839673,2026-06-01
262.8875844531165,2026-07-01
242.36194319992046,2026-08-01
251.7605956287508,2026-09-01
228.13150138987078,2026-10-01
297.777832572438,2026-11-01
248.3708527408772,2026-12-01
