µø¿€±∏,Date
151.73766818368458,2023-01-01
99.82931951686422,2023-02-01
74.07304858841826,2023-03-01
130.6650584990749,2023-04-01
117.92827310925985,2023-05-01
208.4666338612828,2023-06-01
124.53638915180879,2023-07-01
190.48733105009376,2023-08-01
23.22819760752283,2023-09-01
135.02402054531584,2023-10-01
193.60934006828853,2023-11-01
122.34224058859684,2023-12-01
175.94307800465907,2024-01-01
116.64123410584482,2024-02-01
155.47152229940556,2024-03-01
122.9984100764066,2024-04-01
167.56919368676722,2024-05-01
135.05471929317207,2024-06-01
157.71693330040733,2024-07-01
118.24245081096521,2024-08-01
183.37469251513804,2024-09-01
110.47334036797363,2024-10-01
168.94137189809288,2024-11-01
152.59994632882947,2024-12-01
141.64030926350432,2025-01-01
102.96283396649653,2025-02-01
141.12119076994793,2025-03-01
138.04661792568572,2025-04-01
163.3416996439844,2025-05-01
172.1150361555886,2025-06-01
159.60096070785715,2025-07-01
155.7812200037419,2025-08-01
142.9800442790119,2025-09-01
130.64074155363522,2025-10-01
189.88596066863622,2025-11-01
155.1911779966853,2025-12-01
165.8039867117129,2026-01-01
120.77366815054964,2026-02-01
126.73260020983042,2026-03-01
153.3540495826555,2026-04-01
159.54602790763565,2026-05-01
209.34846861754875,2026-06-01
161.29576797763863,2026-07-01
192.6212466839823,2026-08-01
102.33451305268949,2026-09-01
151.578653247619,2026-10-01
210.86661559942905,2026-11-01
157.85873725195597,2026-12-01
