°­³²±¸,Date
235.34478808872004,2023-01-01
176.98132105984484,2023-02-01
80.6236194494627,2023-03-01
197.24594711396946,2023-04-01
249.5659175315711,2023-05-01
250.39948701927725,2023-06-01
183.0908553884292,2023-07-01
232.35185028284815,2023-08-01
182.92698355626777,2023-09-01
152.597255239402,2023-10-01
295.8678105188372,2023-11-01
154.79226587131782,2023-12-01
260.7729587934583,2024-01-01
204.2703120577419,2024-02-01
251.58053913706718,2024-03-01
194.21469530890815,2024-04-01
168.91823981580933,2024-05-01
198.69433792284406,2024-06-01
233.63562718341714,2024-07-01
247.17946985587483,2024-08-01
130.11958646576528,2024-09-01
210.86926667467347,2024-10-01
247.29540072065623,2024-11-01
226.64112175008103,2024-12-01
168.90877307752953,2025-01-01
102.28679989348194,2025-02-01
189.13337810325046,2025-03-01
188.41778803805641,2025-04-01
189.74063241408626,2025-05-01
210.7667246756321,2025-06-01
211.4493683355775,2025-07-01
236.28357234644506,2025-08-01
142.10453231886396,2025-09-01
185.7418329147071,2025-10-01
257.7546290605331,2025-11-01
196.60548741296452,2025-12-01
193.31193630220474,2026-01-01
131.57607752175937,2026-02-01
126.4266481981628,2026-03-01
183.72493884332675,2026-04-01
210.93499315850104,2026-05-01
222.30955351985668,2026-06-01
188.89535297717148,2026-07-01
225.6383710634546,2026-08-01
154.0107926066906,2026-09-01
160.61259534860216,2026-10-01
268.2474745969274,2026-11-01
166.95067145584147,2026-12-01
