°­µ¿±¸,Date
167.6281544662879,2023-01-01
145.52839977331564,2023-02-01
101.57898813437185,2023-03-01
120.6882530494767,2023-04-01
166.10214389856833,2023-05-01
161.34757901262265,2023-06-01
218.63464092649676,2023-07-01
132.47004323777912,2023-08-01
167.7988786981358,2023-09-01
83.4391288046803,2023-10-01
256.3152518327024,2023-11-01
114.65736151870102,2023-12-01
190.02643807398573,2024-01-01
178.2889552693797,2024-02-01
171.02810360578206,2024-03-01
154.08824486547815,2024-04-01
154.8430139339032,2024-05-01
181.20345263412327,2024-06-01
184.27399110698067,2024-07-01
200.48202796844166,2024-08-01
126.7611021515348,2024-09-01
159.48973328944166,2024-10-01
202.59968998608917,2024-11-01
200.37821580858963,2024-12-01
170.50693670399318,2025-01-01
125.33688832931784,2025-02-01
163.602464933974,2025-03-01
158.0572400274025,2025-04-01
173.80909671075477,2025-05-01
189.86438885619964,2025-06-01
211.33663995053234,2025-07-01
193.25907530955433,2025-08-01
155.86911981651826,2025-09-01
149.46219049683265,2025-10-01
235.9361975460115,2025-11-01
187.16235517169096,2025-12-01
191.9003984794975,2026-01-01
158.65224217946854,2026-02-01
155.83711457734015,2026-03-01
162.3111156764868,2026-04-01
192.95564913844728,2026-05-01
198.63818083596644,2026-06-01
238.18581063240492,2026-07-01
185.97531078037716,2026-08-01
184.94298030933578,2026-09-01
139.49825939981616,2026-10-01
269.23714419963983,2026-11-01
173.97329839884537,2026-12-01
