°­¼­±¸,Date
224.7713889039548,2023-01-01
198.16293420594374,2023-02-01
113.76221366768027,2023-03-01
167.89805343555585,2023-04-01
182.21122050109915,2023-05-01
262.2506998495152,2023-06-01
230.01849194697814,2023-07-01
186.99352039262874,2023-08-01
185.44911773523972,2023-09-01
191.97296503349597,2023-10-01
196.8274308049997,2023-11-01
153.92469551861655,2023-12-01
291.29167037353835,2024-01-01
257.61775858044524,2024-02-01
267.2739596832472,2024-03-01
215.20724806577624,2024-04-01
241.89263832363042,2024-05-01
217.13222998761088,2024-06-01
227.47228416224328,2024-07-01
242.65278736378295,2024-08-01
189.4886473950311,2024-09-01
257.1273875148326,2024-10-01
247.99203560100165,2024-11-01
248.6879598130148,2024-12-01
206.1185445420187,2025-01-01
188.90214046505963,2025-02-01
254.1462594233794,2025-03-01
236.51561146863241,2025-04-01
258.8057532792528,2025-05-01
269.2478840973768,2025-06-01
266.21449701625,2025-07-01
261.8311891296647,2025-08-01
225.8245444430587,2025-09-01
273.13310788212095,2025-10-01
268.3705612079247,2025-11-01
253.7269380853603,2025-12-01
271.3204920194957,2026-01-01
250.1999186454719,2026-02-01
240.437981972149,2026-03-01
258.216054600632,2026-04-01
276.3875627075677,2026-05-01
321.7752628966951,2026-06-01
304.5471464088122,2026-07-01
280.7546250167424,2026-08-01
261.9572441426177,2026-09-01
288.88742128490594,2026-10-01
288.78727211940753,2026-11-01
259.6120316554569,2026-12-01
