±¤Áø±¸,Date
186.16984050442912,2023-01-01
127.08744728578391,2023-02-01
87.5553459049903,2023-03-01
142.1913412996632,2023-04-01
161.27113409579542,2023-05-01
170.25709245558923,2023-06-01
132.66294477038778,2023-07-01
118.0682243457178,2023-08-01
143.16459814472827,2023-09-01
47.33359076361204,2023-10-01
243.0591389681781,2023-11-01
156.5204042304755,2023-12-01
206.75006357767907,2024-01-01
144.93167168522845,2024-02-01
180.7340001754888,2024-03-01
150.04858160537378,2024-04-01
142.3001239763286,2024-05-01
126.80880720158017,2024-06-01
157.91878274465768,2024-07-01
168.28480823615527,2024-08-01
87.40976650410867,2024-09-01
179.32086533039092,2024-10-01
153.13477715459197,2024-11-01
197.2915810335711,2024-12-01
176.82471317835922,2025-01-01
121.515713398446,2025-02-01
160.2724910857412,2025-03-01
157.42139207773513,2025-04-01
158.8632250080837,2025-05-01
152.051909029807,2025-06-01
160.5106614080498,2025-07-01
162.00169661380545,2025-08-01
116.79551774744253,2025-09-01
145.62259548466574,2025-10-01
193.22314397397568,2025-11-01
194.37992423580266,2025-12-01
197.32093721065635,2026-01-01
140.41035112564455,2026-02-01
139.7676007682516,2026-03-01
165.36594437984692,2026-04-01
175.75786102251163,2026-05-01
177.10773177881464,2026-06-01
162.65585822476262,2026-07-01
155.82404656559646,2026-08-01
145.9491582431923,2026-09-01
112.18110357224634,2026-10-01
233.77189118501838,2026-11-01
191.35522143159088,2026-12-01
