º≠√ ±∏,Date
109.67786497735048,2023-01-01
102.2980811659213,2023-02-01
165.35592197330126,2023-03-01
103.46381386067178,2023-04-01
68.72464872459648,2023-05-01
148.42428485400987,2023-06-01
150.01185458729384,2023-07-01
127.17309726510518,2023-08-01
76.2629951072039,2023-09-01
135.4788836891162,2023-10-01
271.0097898096733,2023-11-01
104.38942051513,2023-12-01
119.76558340570568,2024-01-01
119.23293420311055,2024-02-01
129.22167147859446,2024-03-01
129.765281963334,2024-04-01
138.15502828029673,2024-05-01
138.4321401813923,2024-06-01
142.56492811790386,2024-07-01
145.13647135453394,2024-08-01
201.8269178892433,2024-09-01
121.46833736876673,2024-10-01
157.786225023833,2024-11-01
214.34859822919378,2024-12-01
171.04048066347877,2025-01-01
150.60497773681138,2025-02-01
168.24166884496768,2025-03-01
148.35436474614374,2025-04-01
141.80808930530753,2025-05-01
168.40412032237117,2025-06-01
172.20672112394215,2025-07-01
166.6426829175349,2025-08-01
186.693159834061,2025-09-01
152.108754397849,2025-10-01
222.91971124847902,2025-11-01
205.3915342910543,2025-12-01
180.65857195473262,2026-01-01
166.63889990920302,2026-02-01
207.23460589454515,2026-03-01
166.527844582988,2026-04-01
145.60021546198897,2026-05-01
198.6791787452405,2026-06-01
201.63416256109042,2026-07-01
187.59363883874377,2026-08-01
171.76686992636968,2026-09-01
183.72578118898647,2026-10-01
287.6179336378508,2026-11-01
195.67045782073876,2026-12-01
