서대문구,Date
158.2561761408693,2023-01-01
128.2805993770155,2023-02-01
81.76911993198485,2023-03-01
112.79998762564408,2023-04-01
183.36365515796086,2023-05-01
176.65954725051512,2023-06-01
171.01226525358652,2023-07-01
128.60457519935352,2023-08-01
71.31498736625288,2023-09-01
73.04072437463475,2023-10-01
253.91445745146015,2023-11-01
132.94195107498956,2023-12-01
188.90093884736544,2024-01-01
161.0252832782166,2024-02-01
188.19245004285372,2024-03-01
181.18598045137506,2024-04-01
154.42819006637237,2024-05-01
144.70418611925513,2024-06-01
160.0339837923256,2024-07-01
181.76015250847496,2024-08-01
153.01133682034015,2024-09-01
156.1095265697927,2024-10-01
183.33236679187308,2024-11-01
156.1403452797025,2024-12-01
186.03790474427063,2025-01-01
150.53568049167197,2025-02-01
182.75017443136275,2025-03-01
187.50989706750258,2025-04-01
193.27208974222995,2025-05-01
185.21786881409463,2025-06-01
194.15755571553814,2025-07-01
194.54612134040732,2025-08-01
155.73741688557388,2025-09-01
157.4232159163315,2025-10-01
236.21984602561537,2025-11-01
178.42502898198794,2025-12-01
216.97193837201388,2026-01-01
184.45591855403268,2026-02-01
177.10061421128515,2026-03-01
194.54452340580792,2026-04-01
232.76228045648614,2026-05-01
225.71746097115414,2026-06-01
227.65957421627027,2026-07-01
206.65976270573788,2026-08-01
158.33163495356365,2026-09-01
159.5642124688652,2026-10-01
289.59503574240176,2026-11-01
200.53374206548196,2026-12-01
