¼ºµ¿±¸,Date
189.95126148417393,2023-01-01
167.56651286185308,2023-02-01
123.6514413807357,2023-03-01
168.70326637398563,2023-04-01
214.5643247986588,2023-05-01
192.7716874874261,2023-06-01
204.59113475496113,2023-07-01
166.68838711124596,2023-08-01
165.69517685722786,2023-09-01
162.58822795356826,2023-10-01
258.3960418778445,2023-11-01
176.87998095704108,2023-12-01
242.17414761795243,2024-01-01
209.25498176417628,2024-02-01
230.39748783566864,2024-03-01
220.98244360390066,2024-04-01
208.79460469150516,2024-05-01
206.80970578413306,2024-06-01
226.714126541838,2024-07-01
218.1455554891309,2024-08-01
253.53748459866966,2024-09-01
224.73295203538947,2024-10-01
228.40487192754446,2024-11-01
242.90401944345962,2024-12-01
236.8026793632371,2025-01-01
234.04628979343826,2025-02-01
245.2994173934237,2025-03-01
253.4526862845626,2025-04-01
260.8958795570906,2025-05-01
252.71271362664476,2025-06-01
270.16925547078756,2025-07-01
251.87586760739018,2025-08-01
274.76508815079023,2025-09-01
253.90222513487402,2025-10-01
288.7111569998286,2025-11-01
271.4319469928149,2025-12-01
289.1030991800698,2026-01-01
276.7767852415793,2026-02-01
260.18152830736733,2026-03-01
286.49719990033213,2026-04-01
313.2993536194023,2026-05-01
298.51267288484416,2026-06-01
313.27113260232585,2026-07-01
285.1942196354688,2026-08-01
295.95017760255905,2026-09-01
283.65853786802336,2026-10-01
349.1895060831731,2026-11-01
299.8979125321238,2026-12-01
