영등포구,Date
184.17955209667988,2023-01-01
144.67962365348237,2023-02-01
149.41004735521247,2023-03-01
187.00094332292775,2023-04-01
219.8343828155802,2023-05-01
205.3284988489599,2023-06-01
212.919669719484,2023-07-01
190.09148427822478,2023-08-01
96.00980212607766,2023-09-01
107.67213875584802,2023-10-01
417.28777209870793,2023-11-01
142.50295162978813,2023-12-01
209.7402824589986,2024-01-01
176.41217010298593,2024-02-01
227.22232371611685,2024-03-01
196.29834828044062,2024-04-01
207.33926533237144,2024-05-01
209.2464127243492,2024-06-01
244.33451679206723,2024-07-01
207.95190644868237,2024-08-01
190.1808579359797,2024-09-01
150.0038529811435,2024-10-01
248.92805954207213,2024-11-01
299.0949533558495,2024-12-01
217.13802442535496,2025-01-01
163.5689858923168,2025-02-01
228.85175660264724,2025-03-01
220.3642644679216,2025-04-01
239.0492789351121,2025-05-01
235.78373313715474,2025-06-01
261.72010907618505,2025-07-01
229.91494723758586,2025-08-01
186.2809975452666,2025-09-01
162.38678867872395,2025-10-01
333.03176147115994,2025-11-01
275.21302033897774,2025-12-01
241.84914891539677,2026-01-01
195.598031519182,2026-02-01
230.5091638916298,2026-03-01
244.86712615177146,2026-04-01
270.82094179816113,2026-05-01
262.08221004444385,2026-06-01
278.84842480031284,2026-07-01
251.55969282953998,2026-08-01
182.48138457752094,2026-09-01
175.87871025252753,2026-10-01
416.7733242786702,2026-11-01
250.6049360381785,2026-12-01
