Date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
20년1월_절도,310,146,79,193,223,175,170,79,101,81,192,136,214,115,25,95,80,250,130,203,104,126,118,216,112
20년2월_절도,240,132,61,161,181,134,100,107,82,61,126,88,131,84,28,66,57,148,141,173,70,93,87,135,117
20년3월_절도,279,137,72,179,164,145,128,97,83,59,118,124,95,102,27,75,93,231,134,193,108,104,135,176,140
20년4월_절도,227,124,66,116,202,126,159,72,110,61,130,91,118,102,26,83,81,204,114,177,116,97,81,118,104
20년5월_절도,215,127,67,150,207,130,163,77,151,63,73,146,113,100,50,78,76,242,123,198,105,88,85,117,105
20년6월_절도,234,132,79,121,179,120,143,82,102,84,102,107,87,76,23,90,73,199,111,198,82,158,108,119,118
20년7월_절도,286,149,86,121,208,140,242,96,136,82,122,131,142,87,21,114,102,217,161,233,96,135,96,136,136
20년8월_절도,269,160,61,136,158,143,144,81,123,59,126,93,71,95,33,84,81,216,134,177,84,113,81,119,122
20년9월_절도,121,44,91,54,80,57,114,146,120,67,83,153,37,50,130,134,319,160,37,142,133,299,165,119,89
20년10월_절도,200,98,62,134,187,153,149,85,131,87,107,76,155,52,23,92,102,125,112,94,93,123,110,134,143
20년11월_절도,233,143,50,110,162,98,110,86,117,78,91,156,87,95,29,84,76,229,101,183,87,115,82,126,126
20년12월_절도,232,131,47,119,187,147,110,70,140,84,139,110,121,37,164,88,73,213,112,238,85,122,100,119,153
21년1월_절도,197,125,60,99,126,109,76,84,81,45,99,78,116,83,106,57,75,175,106,118,59,113,63,101,106
21년2월_절도,120,92,40,108,136,103,79,87,93,40,59,66,87,55,89,61,37,126,66,81,56,62,74,98,74
21년3월_절도,180,119,52,116,126,127,121,53,97,56,85,84,114,84,152,78,65,131,113,171,57,108,86,94,118
21년4월_절도,192,108,53,129,170,119,120,85,96,55,91,94,114,97,112,72,58,131,96,144,76,103,75,121,95
21년5월_절도,179,115,86,135,149,109,114,92,103,61,135,107,119,66,58,82,80,160,121,148,65,110,97,126,112
21년6월_절도,222,163,77,142,188,96,115,76,123,60,111,132,116,89,129,58,76,239,124,148,101,157,84,126,121
21년7월_절도,178,143,76,142,171,123,106,95,136,75,142,115,134,98,145,71,92,169,104,163,113,117,103,118,141
21년8월_절도,245,123,85,119,157,128,155,77,134,41,81,101,143,109,130,90,74,202,95,150,100,114,113,104,117
21년9월_절도,189,159,68,122,113,78,117,96,110,54,118,90,119,82,86,73,78,151,118,115,62,139,103,120,127
21년10월_절도,215,105,50,134,92,84,127,80,104,66,107,75,155,66,122,63,57,115,97,78,52,125,62,87,124
21년11월_절도,279,190,74,158,225,176,131,82,165,153,96,83,164,99,268,104,115,229,192,241,100,128,142,100,163
21년12월_절도,176,170,56,136,207,162,129,106,119,66,116,104,129,99,106,96,88,196,117,155,104,148,95,84,101
22년1월_절도,169,143,66,140,148,202,145,121,123,139,74,155,102,127,98,162,80,191,125,192,84,125,87,108,90
22년2월_절도,131,100,49,91,103,75,88,68,78,84,40,72,61,90,77,139,53,97,94,117,65,86,81,80,79
22년3월_절도,161,96,65,130,124,114,82,72,65,83,59,101,83,95,83,129,64,171,94,150,63,114,81,115,76
22년4월_절도,200,104,62,128,170,133,114,75,94,96,82,115,90,97,64,152,80,156,123,159,74,110,82,128,86
22년5월_절도,228,141,101,155,140,143,144,93,114,137,70,123,88,147,75,169,70,162,111,181,69,116,93,119,101
22년6월_절도,228,136,81,208,167,145,138,106,130,126,96,163,116,123,111,156,103,232,137,165,87,146,109,132,116
22년7월_절도,222,203,67,198,170,123,150,124,124,141,90,118,94,129,108,171,98,142,131,187,101,119,104,160,114
22년8월_절도,247,158,86,193,215,120,153,89,116,129,86,158,125,111,94,127,112,224,189,156,95,113,14,15,27
22년9월_절도,168,126,73,164,95,120,129,85,128,141,85,71,91,67,102,163,56,182,109,91,79,128,89,125,86
22년10월_절도,194,107,71,214,142,105,151,90,76,116,68,127,74,87,70,153,89,159,117,101,53,154,98,144,83
22년11월_절도,313,236,84,200,290,211,137,118,150,167,121,216,124,247,129,224,97,266,151,355,111,152,115,121,243
22년12월_절도,234,122,67,170,202,179,134,77,167,145,98,137,147,131,103,176,77,219,93,208,97,134,103,128,126
