µµºÀ±¸,Date
219.956158481818,2023-01-01
205.09033364036057,2023-02-01
185.16349770217607,2023-03-01
166.0566823096218,2023-04-01
257.0270765037683,2023-05-01
259.45586604734723,2023-06-01
234.88547995003657,2023-07-01
204.67324395968527,2023-08-01
212.09465683507975,2023-09-01
230.66990259446018,2023-10-01
225.93251161451096,2023-11-01
165.47083375753093,2023-12-01
288.3126656073434,2024-01-01
274.66236023730363,2024-02-01
282.0715767419275,2024-03-01
284.0399851678355,2024-04-01
268.7960550209267,2024-05-01
273.5681186179369,2024-06-01
266.01157980316935,2024-07-01
283.7913663386054,2024-08-01
270.9353544728871,2024-09-01
256.0231459393297,2024-10-01
263.0220972230924,2024-11-01
297.43549245083364,2024-12-01
274.98100262725677,2025-01-01
254.67988372284256,2025-02-01
313.6460247332385,2025-03-01
307.68130035058164,2025-04-01
327.6263825493775,2025-05-01
332.15227144957856,2025-06-01
319.2746502031563,2025-07-01
320.903539945655,2025-08-01
314.45400005181517,2025-09-01
310.83718597268813,2025-10-01
314.30224920626114,2025-11-01
316.40225718933385,2025-12-01
342.1049171753674,2026-01-01
325.0198626093536,2026-02-01
344.6360301060314,2026-03-01
331.6437467144226,2026-04-01
387.0072652351259,2026-05-01
390.7543284887932,2026-06-01
372.2017285978201,2026-07-01
357.8271811238663,2026-08-01
358.13869401807693,2026-09-01
365.68870111273,2026-10-01
365.2386301684176,2026-11-01
335.7057312612058,2026-12-01
