°­ºÏ±¸,Date
166.6927442547532,2023-01-01
159.46089405401864,2023-02-01
109.768374477077,2023-03-01
147.71637716225962,2023-04-01
206.52381298490803,2023-05-01
223.4027579412129,2023-06-01
149.24800869588785,2023-07-01
164.98861269419098,2023-08-01
187.480933994132,2023-09-01
169.7669631972383,2023-10-01
153.66998628867964,2023-11-01
128.6991214461679,2023-12-01
212.26292366277792,2024-01-01
204.76711480724262,2024-02-01
213.89593717094357,2024-03-01
219.09794238659114,2024-04-01
190.3529428150338,2024-05-01
187.31882107771543,2024-06-01
216.0128899994753,2024-07-01
188.72373244943924,2024-08-01
170.25284905732838,2024-09-01
207.92626616453123,2024-10-01
196.2821774335486,2024-11-01
203.965977532282,2024-12-01
161.30246533892736,2025-01-01
151.22655860484576,2025-02-01
207.73572098498184,2025-03-01
222.86516588660461,2025-04-01
223.26004665414453,2025-05-01
227.6356663705466,2025-06-01
222.05742062353602,2025-07-01
208.62238593236634,2025-08-01
204.129238061045,2025-09-01
223.57101441681667,2025-10-01
210.22538338542728,2025-11-01
206.36331983417392,2025-12-01
205.80278881941882,2026-01-01
197.71055255500121,2026-02-01
201.06888302412415,2026-03-01
227.11654379033862,2026-04-01
256.7088909667316,2026-05-01
267.7245331849121,2026-06-01
227.85187693815226,2026-07-01
228.763789818067,2026-08-01
237.92972939560292,2026-09-01
238.90253263946374,2026-10-01
224.06970281164172,2026-11-01
209.32274157184364,2026-12-01
