°­³²±¸,Date
363.8963323332265,2023-01-01
265.0910030712097,2023-02-01
309.5339242879198,2023-03-01
296.7970114039158,2023-04-01
365.34814081711573,2023-05-01
316.0313063821979,2023-06-01
385.67096311538205,2023-07-01
315.0471469910096,2023-08-01
375.22725370621635,2023-09-01
304.3725747394975,2023-10-01
290.00820314373357,2023-11-01
308.3598503519842,2023-12-01
425.0217956871423,2024-01-01
304.54190273217915,2024-02-01
379.6882778457708,2024-03-01
363.8641301951966,2024-04-01
353.64508755491386,2024-05-01
385.44140410541286,2024-06-01
362.7434956363949,2024-07-01
384.82524583749495,2024-08-01
252.6835898133217,2024-09-01
369.6440857843251,2024-10-01
403.3143504278835,2024-11-01
394.3468337434359,2024-12-01
327.3677209727618,2025-01-01
268.1918516169833,2025-02-01
384.7502408432548,2025-03-01
369.2185229912506,2025-04-01
385.3391185284092,2025-05-01
390.0324453381435,2025-06-01
398.0927686617154,2025-07-01
389.0295331247729,2025-08-01
321.561280316303,2025-09-01
376.8942351349358,2025-10-01
393.58361340862797,2025-11-01
392.44438269656786,2025-12-01
387.09786669216544,2026-01-01
308.7314153039267,2026-02-01
389.2428376887876,2026-03-01
374.7397715573395,2026-04-01
417.12512056972827,2026-05-01
394.77531818383164,2026-06-01
433.6227733974956,2026-07-01
393.6539456097642,2026-08-01
390.30947705133934,2026-09-01
383.0158930830662,2026-10-01
383.6832595359996,2026-11-01
391.65850138082186,2026-12-01
