°­µ¿±¸,Date
171.29499868079287,2023-01-01
138.63028868136104,2023-02-01
116.94692234590136,2023-03-01
179.02274026778792,2023-04-01
171.9647461520975,2023-05-01
183.65872552138887,2023-06-01
133.3814014308491,2023-07-01
155.1256262861799,2023-08-01
245.87310932798272,2023-09-01
103.5160358296307,2023-10-01
187.8464068076401,2023-11-01
139.3848102581764,2023-12-01
192.55047667352514,2024-01-01
156.15154211395316,2024-02-01
173.89476905041346,2024-03-01
155.07184167740826,2024-04-01
169.76168431832298,2024-05-01
183.73473810877258,2024-06-01
210.38642784332032,2024-07-01
190.45407574453696,2024-08-01
78.40820533509365,2024-09-01
205.9642673052038,2024-10-01
194.09356893484394,2024-11-01
196.58981531331776,2024-12-01
156.94024042198424,2025-01-01
129.86862464475672,2025-02-01
163.9126564700407,2025-03-01
171.86644980841757,2025-04-01
179.67569480439437,2025-05-01
193.08898354204712,2025-06-01
193.63674639816628,2025-07-01
186.65707454762662,2025-08-01
143.38919806413085,2025-09-01
181.6085413725201,2025-10-01
201.01330308720617,2025-11-01
186.20839538411252,2025-12-01
177.4266652447679,2026-01-01
147.8713384283998,2026-02-01
153.92863372127889,2026-03-01
188.8562369540122,2026-04-01
189.41524375583532,2026-05-01
202.06573126762643,2026-06-01
176.96203938942634,2026-07-01
183.88370621537223,2026-08-01
208.23335567637525,2026-09-01
156.4549148222695,2026-10-01
207.92994858871518,2026-11-01
176.13769341532316,2026-12-01
