°­¼­±¸,Date
222.08675033553084,2023-01-01
196.61057565320684,2023-02-01
170.42235397928124,2023-03-01
247.14082132508912,2023-04-01
213.27401046876165,2023-05-01
180.39803327329523,2023-06-01
252.08072777668872,2023-07-01
215.17267804115966,2023-08-01
255.22097166380124,2023-09-01
204.27619242839654,2023-10-01
198.64248373830134,2023-11-01
142.37294422890724,2023-12-01
255.10554461454836,2024-01-01
237.11751347723677,2024-02-01
252.63275056709787,2024-03-01
233.67925223079263,2024-04-01
228.28120230061555,2024-05-01
252.1676850495841,2024-06-01
244.62735508700268,2024-07-01
241.69455042821951,2024-08-01
145.47602499085426,2024-09-01
272.3696936923923,2024-10-01
229.1942497014622,2024-11-01
249.12886058240971,2024-12-01
208.39090485742943,2025-01-01
164.49487432374724,2025-02-01
242.13136786948687,2025-03-01
254.6889788352534,2025-04-01
240.16999835491015,2025-05-01
244.70618056814288,2025-06-01
263.3075844984003,2025-07-01
248.9480127531199,2025-08-01
198.86308939647085,2025-09-01
267.0515467665256,2025-10-01
235.8771038130006,2025-11-01
229.56767738148199,2025-12-01
239.68620641506533,2026-01-01
205.5695688491848,2026-02-01
231.3109880848563,2026-03-01
275.7663849496053,2026-04-01
251.7547287862845,2026-05-01
237.364544376325,2026-06-01
282.38210610975455,2026-07-01
256.6993199547163,2026-08-01
252.04840397619665,2026-09-01
260.93818376389055,2026-10-01
242.27515949751023,2026-11-01
210.56032865291314,2026-12-01
