°ü¾Ç±¸,Date
-91.39998657475338,2023-01-01
-148.10000324815329,2023-02-01
-122.46703361478339,2023-03-01
26.6812150601952,2023-04-01
169.5525730524904,2023-05-01
318.101419089869,2023-06-01
403.52815051394793,2023-07-01
-913.2153173744681,2023-08-01
413.788860438794,2023-09-01
266.7189296769693,2023-10-01
244.61683281107412,2023-11-01
66.09492741651435,2023-12-01
-294.1449804911113,2024-01-01
-369.95880389360013,2024-02-01
-118.19054625139117,2024-03-01
-163.31136312709123,2024-04-01
-210.3161966761985,2024-05-01
-289.70894616013015,2024-06-01
-301.6356772045293,2024-07-01
1317.4079397498308,2024-08-01
-380.3056898935067,2024-09-01
-264.52072946495775,2024-10-01
-224.02168781390344,2024-11-01
-154.65723157304038,2024-12-01
-150.30363263486942,2025-01-01
-158.32627808702156,2025-02-01
-274.125877518278,2025-03-01
-254.82225456770482,2025-04-01
-236.98176635689123,2025-05-01
-236.6552353154301,2025-06-01
-205.00901137565015,2025-07-01
422.48397402690745,2025-08-01
-279.6021087071314,2025-09-01
-240.44293761996886,2025-10-01
-217.15756889282213,2025-11-01
-227.62017445124593,2025-12-01
-345.84779793881233,2026-01-01
-379.932961966717,2026-02-01
-426.7921549825131,2026-03-01
-342.69362818224187,2026-04-01
-261.51646619805285,2026-05-01
-185.17849729388828,2026-06-01
-121.15816420470935,2026-07-01
-472.5435666841262,2026-08-01
-166.09891907654065,2026-09-01
-214.49403901971152,2026-10-01
-212.09234171548331,2026-11-01
-305.2378029798141,2026-12-01
