±¤Áø±¸,Date
155.6394397847744,2023-01-01
117.12849340832885,2023-02-01
125.61835691765992,2023-03-01
184.91826450212477,2023-04-01
160.2101227114194,2023-05-01
179.54847789265204,2023-06-01
164.29141292817536,2023-07-01
127.42694132757444,2023-08-01
221.12910181810716,2023-09-01
137.2533165496071,2023-10-01
155.6375878110388,2023-11-01
138.9642034829239,2023-12-01
187.99356373276765,2024-01-01
128.1911855772308,2024-02-01
179.8266535115624,2024-03-01
158.54123822976266,2024-04-01
174.9027093679178,2024-05-01
189.60659287354156,2024-06-01
199.9681497171527,2024-07-01
212.4220013209336,2024-08-01
101.24458775014178,2024-09-01
208.62591493335017,2024-10-01
189.80840646273495,2024-11-01
169.05680866526814,2024-12-01
152.24812947665595,2025-01-01
155.3481482705189,2025-02-01
181.9618727167583,2025-03-01
187.57246912099245,2025-04-01
190.6059291575495,2025-05-01
206.88423235066494,2025-06-01
208.68033245402574,2025-07-01
203.8763558086583,2025-08-01
161.51885594932835,2025-09-01
205.8821677239632,2025-10-01
198.79036928883937,2025-11-01
179.1319162800296,2025-12-01
184.58633447260792,2026-01-01
167.04941617814524,2026-02-01
184.32220870882938,2026-03-01
216.80295471233808,2026-04-01
206.143666233605,2026-05-01
223.9653885367788,2026-06-01
217.21734909551327,2026-07-01
195.97296535824597,2026-08-01
221.92811053486713,2026-09-01
202.52107971979825,2026-10-01
207.82951125916867,2026-11-01
189.53378677873502,2026-12-01
