Áß±¸,Date
180.7323167517634,2023-01-01
137.62232696604173,2023-02-01
99.35939135128966,2023-03-01
194.10623294740176,2023-04-01
180.68355549401346,2023-05-01
188.82342697332908,2023-06-01
183.925018352924,2023-07-01
202.0535184943358,2023-08-01
165.08335608911278,2023-09-01
204.32212161978984,2023-10-01
169.40104226294744,2023-11-01
137.17455380262993,2023-12-01
226.70674556008603,2024-01-01
157.27964143507435,2024-02-01
219.69562405543977,2024-03-01
160.21160286278877,2024-04-01
183.8452752795934,2024-05-01
191.2081945800491,2024-06-01
208.21297117810727,2024-07-01
216.66448705119493,2024-08-01
231.53456722773626,2024-09-01
182.00043438808484,2024-10-01
185.079356225224,2024-11-01
201.68371474835467,2024-12-01
157.96259255902353,2025-01-01
165.0236866260453,2025-02-01
202.31932507778816,2025-03-01
193.89945432977584,2025-04-01
205.79525176629616,2025-05-01
213.52889968589625,2025-06-01
223.25629260932354,2025-07-01
234.96855311955974,2025-08-01
232.21315261859218,2025-09-01
212.2070792509211,2025-10-01
203.02378239682915,2025-11-01
202.81287654065292,2025-12-01
203.7531307559278,2026-01-01
186.1478083421015,2026-02-01
185.16778494113132,2026-03-01
228.17408625735143,2026-04-01
227.71798916955217,2026-05-01
235.70931801271283,2026-06-01
238.13251136687862,2026-07-01
253.06944837389025,2026-08-01
233.02997209941825,2026-09-01
242.62388460513623,2026-10-01
220.7704636006451,2026-11-01
204.27946283931067,2026-12-01
