Áß¶û±¸,Date
103.00978844127386,2023-01-01
90.69152997238089,2023-02-01
88.84698660951771,2023-03-01
106.98817055980732,2023-04-01
163.17411240942886,2023-05-01
183.39913542793423,2023-06-01
52.44045650609711,2023-07-01
142.7734710043382,2023-08-01
162.6378273563344,2023-09-01
136.59847705984257,2023-10-01
166.35357224640998,2023-11-01
57.1245804140911,2023-12-01
98.1493818763708,2024-01-01
95.80564206723164,2024-02-01
119.38023680852031,2024-03-01
103.17323371135097,2024-04-01
105.6688675937522,2024-05-01
125.65227768873204,2024-06-01
181.3680235592053,2024-07-01
111.56672002705443,2024-08-01
90.7981610432156,2024-09-01
140.95334026521812,2024-10-01
102.22861035084638,2024-11-01
141.04989601702118,2024-12-01
75.76580000846498,2025-01-01
41.75278431613444,2025-02-01
96.45313421020522,2025-03-01
91.22896330122289,2025-04-01
111.93079322386376,2025-05-01
132.86341310380976,2025-06-01
125.57671185878552,2025-07-01
108.22642270430615,2025-08-01
101.78076591196098,2025-09-01
126.80439687135629,2025-10-01
111.19624928167333,2025-11-01
100.35998750642216,2025-12-01
69.8472629688776,2026-01-01
46.967477375393884,2026-02-01
73.42060375018009,2026-03-01
79.64972491218201,2026-04-01
118.25593396742072,2026-05-01
139.26524610985322,2026-06-01
69.73386393180897,2026-07-01
105.77826603154504,2026-08-01
112.8849775036326,2026-09-01
112.50394421535636,2026-10-01
119.72461604140854,2026-11-01
59.523608272767575,2026-12-01
