º≠√ ±∏,Date
108.37780331065781,2023-01-01
95.33619832091127,2023-02-01
158.02580019143275,2023-03-01
116.6742321716622,2023-04-01
141.2343941937583,2023-05-01
125.33398985766026,2023-06-01
93.77842951795614,2023-07-01
151.15005543992416,2023-08-01
69.81226541300492,2023-09-01
207.99767077652456,2023-10-01
222.9072581103323,2023-11-01
83.63938697424027,2023-12-01
121.37415816635377,2024-01-01
97.990353986936,2024-02-01
127.9699888747381,2024-03-01
124.81283007518131,2024-04-01
127.29297620123418,2024-05-01
141.99449413882394,2024-06-01
156.10793758387496,2024-07-01
137.29266049098328,2024-08-01
204.61044137402462,2024-09-01
124.40678875888565,2024-10-01
107.64335641001092,2024-11-01
228.0045514348912,2024-12-01
143.2130568664775,2025-01-01
151.19702246941497,2025-02-01
157.75137330264627,2025-03-01
142.14620573661594,2025-04-01
152.172812967555,2025-05-01
156.8979939140313,2025-06-01
155.37509488103257,2025-07-01
162.06658467374533,2025-08-01
179.1651986963267,2025-09-01
171.3652678478377,2025-10-01
166.98763120569504,2025-11-01
200.69506779252075,2025-12-01
155.71439483133832,2026-01-01
153.12739241944664,2026-02-01
187.80112006911858,2026-03-01
159.46224441079016,2026-04-01
176.8494209198979,2026-05-01
171.36910488165734,2026-06-01
154.61775701498766,2026-07-01
186.70925152392346,2026-08-01
154.2459374864932,2026-09-01
219.26817118394035,2026-10-01
225.45089750952758,2026-11-01
172.58502916868667,2026-12-01
