서대문구,Date
221.60619706136336,2023-01-01
181.2589911776576,2023-02-01
175.91621036568438,2023-03-01
193.52627747683283,2023-04-01
215.49803142675157,2023-05-01
232.1753495049899,2023-06-01
236.96148811574952,2023-07-01
212.20990174934465,2023-08-01
162.95578874685344,2023-09-01
212.1730532586756,2023-10-01
265.07558233364074,2023-11-01
179.76684611920535,2023-12-01
282.96570357562297,2024-01-01
223.95523226396165,2024-02-01
266.4745257404841,2024-03-01
240.56254649986698,2024-04-01
257.1092436704136,2024-05-01
241.66188082593592,2024-06-01
247.89091636722836,2024-07-01
250.03465718667255,2024-08-01
272.6684649298534,2024-09-01
257.18943089604755,2024-10-01
249.21260180083257,2024-11-01
271.9076894834618,2024-12-01
260.9466960747001,2025-01-01
256.214425434913,2025-02-01
290.276146626766,2025-03-01
278.51726623006056,2025-04-01
296.852919895981,2025-05-01
292.2503952489609,2025-06-01
298.437404264641,2025-07-01
291.8883924094711,2025-08-01
290.0852073839561,2025-09-01
295.5637957907878,2025-10-01
308.41594165267173,2025-11-01
295.032863062694,2025-12-01
322.10260645675163,2026-01-01
299.85335658597637,2026-02-01
314.00448821319003,2026-03-01
316.75732272250536,2026-04-01
336.9049347460292,2026-05-01
343.0150543219657,2026-06-01
348.7206879195729,2026-07-01
333.2006755591043,2026-08-01
307.4265684556576,2026-09-01
334.47879890447274,2026-10-01
367.6308084113838,2026-11-01
318.2380649382018,2026-12-01
