¼ºµ¿±¸,Date
221.74357490652864,2023-01-01
180.84207069692835,2023-02-01
127.41861486198165,2023-03-01
165.14283009350132,2023-04-01
227.03212228556103,2023-05-01
233.05275381600603,2023-06-01
236.7221725234882,2023-07-01
224.0954486211177,2023-08-01
145.9363111952873,2023-09-01
215.3991726922418,2023-10-01
234.38309952678972,2023-11-01
176.3416601673614,2023-12-01
286.8538526355349,2024-01-01
228.48931298567427,2024-02-01
247.6832677926644,2024-03-01
247.1916823717238,2024-04-01
229.2180918202107,2024-05-01
244.3547451591714,2024-06-01
232.17208601785396,2024-07-01
232.4054463795437,2024-08-01
307.1996022509228,2024-09-01
239.85649134285316,2024-10-01
248.3850438485511,2024-11-01
240.063945157595,2024-12-01
245.9916978045162,2025-01-01
237.59548304651534,2025-02-01
259.29660721130386,2025-03-01
270.6997230214885,2025-04-01
279.3851313227029,2025-05-01
291.87209013629814,2025-06-01
285.3765179533896,2025-07-01
281.94800594287966,2025-08-01
305.08702981586805,2025-09-01
282.4871301013028,2025-10-01
295.00159783490295,2025-11-01
269.9322054083365,2025-12-01
310.9860779131894,2026-01-01
286.746987445581,2026-02-01
270.6331735826747,2026-03-01
294.77948459627214,2026-04-01
330.0981949547095,2026-05-01
339.54840510854166,2026-06-01
338.33781554976827,2026-07-01
330.6164407756658,2026-08-01
302.7545802368769,2026-09-01
325.7703266550589,2026-10-01
341.7739805938426,2026-11-01
300.12920356408017,2026-12-01
