¼ÛÆÄ±¸,Date
239.60470444132412,2023-01-01
181.6027299802539,2023-02-01
209.87137208667926,2023-03-01
243.918365913266,2023-04-01
234.88822212324834,2023-05-01
252.84166819463732,2023-06-01
255.05337872248572,2023-07-01
242.65213678263578,2023-08-01
205.60810812969152,2023-09-01
243.26394847338722,2023-10-01
225.3930635811795,2023-11-01
199.63721153474654,2023-12-01
275.15711420915864,2024-01-01
199.6018385759612,2024-02-01
261.5854276449476,2024-03-01
265.96208716333035,2024-04-01
247.10351799780483,2024-05-01
255.61497606716733,2024-06-01
255.4900129062012,2024-07-01
235.08216702570704,2024-08-01
211.02708171840567,2024-09-01
252.0894302296784,2024-10-01
263.62479172313215,2024-11-01
257.1369548988909,2024-12-01
205.02819167732218,2025-01-01
179.76453588513488,2025-02-01
256.41640339681345,2025-03-01
270.3120855972228,2025-04-01
254.6662923187677,2025-05-01
266.36649388114023,2025-06-01
267.0988580629967,2025-07-01
249.48266718542038,2025-08-01
221.18943725542368,2025-09-01
261.20092380280005,2025-10-01
262.8265500335976,2025-11-01
249.21559429821582,2025-12-01
239.8492539798733,2026-01-01
198.61517516515613,2026-02-01
250.9881187669626,2026-03-01
274.77598459866005,2026-04-01
262.40893843104345,2026-05-01
277.2582915718018,2026-06-01
278.7705958754239,2026-07-01
263.8238829724996,2026-08-01
231.19941885504252,2026-09-01
270.0732020359912,2026-10-01
261.8923601818896,2026-11-01
241.85963205297912,2026-12-01
