영등포구,Date
211.10751027861528,2023-01-01
155.85097458767262,2023-02-01
129.51114272345268,2023-03-01
180.0788078128939,2023-04-01
192.58325248555374,2023-05-01
245.12910816971564,2023-06-01
215.59272623044419,2023-07-01
226.56136367912538,2023-08-01
214.7086177840258,2023-09-01
159.25967595847746,2023-10-01
196.43145204757425,2023-11-01
153.41368393045366,2023-12-01
230.22358871225086,2024-01-01
178.4632003081614,2024-02-01
206.44822484417858,2024-03-01
204.43513233131677,2024-04-01
212.03871470199252,2024-05-01
174.44546602662115,2024-06-01
215.25966765313473,2024-07-01
240.62068970516896,2024-08-01
168.3802797462557,2024-09-01
190.4730617843833,2024-10-01
220.2567981575805,2024-11-01
189.30552862307422,2024-12-01
160.8390076609846,2025-01-01
95.43379619826452,2025-02-01
176.79186886024482,2025-03-01
191.57470484419804,2025-04-01
200.47413272335683,2025-05-01
193.2725934932639,2025-06-01
211.15220367654925,2025-07-01
231.3981690695748,2025-08-01
179.47289348892022,2025-09-01
175.86919589147712,2025-10-01
207.7575351741332,2025-11-01
172.2104595991188,2025-12-01
178.9281301500224,2026-01-01
119.12211416622668,2026-02-01
146.6155299755188,2026-03-01
178.92824077704614,2026-04-01
189.46651009735476,2026-05-01
212.32133789068635,2026-06-01
206.7441668614988,2026-07-01
222.19038851670751,2026-08-01
190.3989368516459,2026-09-01
160.93947437534018,2026-10-01
195.289094723225,2026-11-01
155.72233406689443,2026-12-01
