¿ë»ê±¸,Date
168.4070125619604,2023-01-01
136.51565313666848,2023-02-01
118.22300671512235,2023-03-01
117.55739833041224,2023-04-01
187.44923189957197,2023-05-01
226.88646055193132,2023-06-01
214.96978012592055,2023-07-01
179.02659571402305,2023-08-01
156.8128214162499,2023-09-01
172.9217299958957,2023-10-01
185.3942872449506,2023-11-01
181.55417696960725,2023-12-01
215.52919635255626,2024-01-01
186.67017046054667,2024-02-01
202.9643894636876,2024-03-01
217.85675191895817,2024-04-01
207.92203225449384,2024-05-01
207.4562920567703,2024-06-01
218.18267301374533,2024-07-01
206.347158063483,2024-08-01
225.54342034292665,2024-09-01
224.66397435390718,2024-10-01
220.33540810859307,2024-11-01
223.69391709219738,2024-12-01
199.911206014335,2025-01-01
159.81113915964937,2025-02-01
216.9432419567753,2025-03-01
225.8055710883227,2025-04-01
242.07191799310277,2025-05-01
255.3644465226445,2025-06-01
259.08738697482573,2025-07-01
239.37838070244803,2025-08-01
244.54056465245878,2025-09-01
248.92503736995928,2025-10-01
250.14021932457646,2025-11-01
250.94154777714056,2025-12-01
246.53209394229737,2026-01-01
210.89326089724307,2026-02-01
230.3571421459868,2026-03-01
234.03116433545395,2026-04-01
276.9182655614491,2026-05-01
303.518775278216,2026-06-01
299.69155225104,2026-07-01
271.9413514903141,2026-08-01
263.29426613697956,2026-09-01
273.342744672985,2026-10-01
280.16093705293156,2026-11-01
278.56493112547884,2026-12-01
