Date,°­³²±¸,°­µ¿±¸,°­ºÏ±¸,°­¼­±¸,°ü¾Ç±¸,±¤Áø±¸,±¸·Î±¸,±ÝÃµ±¸,³ë¿ø±¸,µµºÀ±¸,µ¿´ë¹®±¸,µ¿ÀÛ±¸,¸¶Æ÷±¸,¼­´ë¹®±¸,¼­ÃÊ±¸,¼ºµ¿±¸,¼ººÏ±¸,¼ÛÆÄ±¸,¾çÃµ±¸,¿µµîÆ÷±¸,¿ë»ê±¸,ÀºÆò±¸,Á¾·Î±¸,Áß±¸,Áß¶û±¸
20³â1¿ù_Æø·Â,339,173,164,215,205,149,204,134,165,98,150,146,217,133,48,132,129,240,114,252,149,187,167,178,153
20³â2¿ù_Æø·Â,221,145,164,195,157,96,157,146,181,96,123,117,151,85,30,87,119,171,116,198,114,140,126,116,143
20³â3¿ù_Æø·Â,334,136,177,218,205,133,179,130,176,101,154,120,147,106,42,90,116,223,95,225,142,163,156,137,176
20³â4¿ù_Æø·Â,324,126,176,195,231,124,138,110,180,109,148,118,161,88,31,100,121,244,107,213,146,149,119,96,176
20³â5¿ù_Æø·Â,317,154,158,201,232,142,212,142,205,103,169,144,141,127,22,95,102,247,113,261,147,154,149,126,183
20³â6¿ù_Æø·Â,337,176,153,229,224,158,206,128,196,106,160,125,144,110,32,115,110,248,136,218,138,143,150,148,176
20³â7¿ù_Æø·Â,295,198,163,225,247,165,201,136,177,100,149,146,143,124,47,101,147,244,165,247,138,181,158,168,240
20³â8¿ù_Æø·Â,319,176,139,207,2215,179,181,120,199,118,167,150,146,111,37,99,127,199,137,257,122,144,128,158,160
20³â9¿ù_Æø·Â,154,34,102,74,154,51,161,177,199,111,132,141,80,134,135,203,419,167,60,191,130,420,222,184,121
20³â10¿ù_Æø·Â,270,187,139,220,238,162,189,131,153,85,145,144,135,107,33,108,107,201,168,218,136,141,143,118,178
20³â11¿ù_Æø·Â,296,155,119,165,229,123,171,94,171,95,119,131,162,94,30,105,124,210,122,223,116,131,126,99,125
20³â12¿ù_Æø·Â,295,148,127,152,230,102,175,98,169,118,137,157,119,105,187,80,116,204,132,187,110,141,130,117,176
21³â1¿ù_Æø·Â,207,106,75,145,157,79,125,90,123,68,106,88,122,74,103,59,80,139,99,157,87,114,94,71,117
21³â2¿ù_Æø·Â,178,99,86,104,137,101,113,86,106,68,84,77,102,87,111,69,101,143,92,87,46,93,100,90,82
21³â3¿ù_Æø·Â,253,139,107,153,176,133,160,107,148,92,133,101,140,87,159,79,109,236,133,160,99,137,118,117,145
21³â4¿ù_Æø·Â,247,149,133,191,178,119,173,108,146,82,124,104,120,83,133,86,112,235,136,213,120,122,114,98,109
21³â5¿ù_Æø·Â,264,145,108,165,225,121,176,120,173,90,133,127,131,77,149,85,97,185,130,156,102,113,119,120,117
21³â6¿ù_Æø·Â,286,151,110,166,196,133,158,100,163,104,162,121,135,91,158,103,98,211,119,170,117,159,118,115,183
21³â7¿ù_Æø·Â,314,161,133,174,226,137,138,121,177,91,139,106,133,88,162,109,115,209,110,214,129,149,139,125,147
21³â8¿ù_Æø·Â,276,150,104,180,182,121,179,117,177,92,149,159,134,108,166,111,126,223,125,259,104,189,133,168,137
21³â9¿ù_Æø·Â,248,153,127,189,174,102,176,108,174,71,114,104,147,95,146,73,119,191,154,184,119,149,130,130,155
21³â10¿ù_Æø·Â,285,125,139,205,191,129,172,109,140,84,137,101,162,106,200,94,151,228,114,157,100,142,113,123,159
21³â11¿ù_Æø·Â,307,170,135,186,196,153,160,100,215,75,133,113,198,109,184,114,139,224,156,224,126,158,141,136,170
21³â12¿ù_Æø·Â,294,165,126,240,210,128,177,116,157,95,126,118,177,104,156,108,145,209,178,188,142,122,148,116,139
22³â1¿ù_Æø·Â,344,167,139,194,208,143,164,108,129,170,96,152,132,174,89,190,102,235,171,202,131,176,133,133,107
22³â2¿ù_Æø·Â,233,109,98,159,158,97,124,66,88,121,47,79,72,123,81,134,51,158,74,149,95,115,98,96,91
22³â3¿ù_Æø·Â,317,136,129,206,162,121,160,87,119,178,77,109,80,193,92,146,74,204,122,186,100,139,109,147,98
22³â4¿ù_Æø·Â,287,160,146,229,192,158,153,84,106,163,98,118,94,180,82,164,99,226,140,190,95,150,112,182,117
22³â5¿ù_Æø·Â,325,159,186,205,196,144,184,104,134,221,107,141,109,202,105,196,106,226,143,226,154,151,146,165,162
22³â6¿ù_Æø·Â,297,171,197,190,230,162,227,135,132,217,78,162,145,191,100,195,101,234,147,233,180,167,142,171,164
22³â7¿ù_Æø·Â,335,141,143,242,260,155,167,149,132,197,100,156,106,198,77,183,106,242,116,213,175,161,110,170,114
22³â8¿ù_Æø·Â,322,154,154,211,231,142,197,133,152,183,87,130,91,171,103,172,95,220,146,219,153,179,121,172,152
22³â9¿ù_Æø·Â,312,162,152,184,206,160,163,96,121,192,108,123,135,156,77,176,79,199,100,204,142,154,117,176,152
22³â10¿ù_Æø·Â,324,151,159,226,211,153,193,146,138,194,109,149,145,189,102,183,78,248,130,193,165,145,122,189,165
22³â11¿ù_Æø·Â,327,197,141,207,281,146,191,131,141,203,97,133,115,237,106,203,98,248,133,217,159,140,142,167,159
22³â12¿ù_Æø·Â,339,165,129,148,232,132,133,88,114,167,95,114,97,191,78,159,97,229,154,183,148,128,92,169,106
