¾çÃµ±¸,Date
293.57215629869484,2023-01-01
257.09423206481694,2023-02-01
212.22057858030337,2023-03-01
296.709547115099,2023-04-01
285.1386376328083,2023-05-01
321.2763535018996,2023-06-01
216.7718214925789,2023-07-01
368.76822500205924,2023-08-01
318.705130029567,2023-09-01
215.34711383251602,2023-10-01
333.95942909754774,2023-11-01
250.08071831775226,2023-12-01
319.57558772823427,2024-01-01
308.19081553605014,2024-02-01
313.95179517267803,2024-03-01
293.28791178385603,2024-04-01
302.3872609002808,2024-05-01
304.94139361597433,2024-06-01
365.6307546714296,2024-07-01
306.7625302558599,2024-08-01
201.18988385929276,2024-09-01
338.78515249221965,2024-10-01
335.64731744932607,2024-11-01
346.9615287475798,2024-12-01
305.96666643371543,2025-01-01
216.03024504848383,2025-02-01
301.0312940809092,2025-03-01
314.84336243537547,2025-04-01
317.2807346439431,2025-05-01
331.44866946235027,2025-06-01
336.1849066444072,2025-07-01
346.9911754035148,2025-08-01
261.60642712610576,2025-09-01
318.97367725522747,2025-10-01
355.76197542982106,2025-11-01
334.9370377787777,2025-12-01
330.2733256744545,2026-01-01
267.6027086442897,2026-02-01
287.73390077410124,2026-03-01
336.6048300828802,2026-04-01
332.15274308050675,2026-05-01
357.5146049144982,2026-06-01
307.1726086072164,2026-07-01
388.2908668515484,2026-08-01
321.41595974395375,2026-09-01
298.43879917735114,2026-10-01
375.8161915668392,2026-11-01
323.2548130501673,2026-12-01
